"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
"","",3541,1.5475394870617158,0.4572317262830482,0,0.16037735849056603,-1,0.515527950310559,0,0.29850746268656714,0,0.5318181818181819,1,0.6597510373443983,1,0.3246753246753247,0,0.49814126394052044,1,0.22758620689655173
"","",2826,-1.098679138089531,0.46146616541353386,0,0.16666666666666666,-2,0.51875,-1,0.1076923076923077,1,0.5797101449275363,-1,0.5681818181818182,0,0.42592592592592593,1,0.5736040609137056,1,0.2608695652173913
"","",4827,6.058895011311783,0.49838187702265374,0,0.24087591240875914,2,0.6277056277056277,0,0.2719298245614035,1,0.5611702127659575,0,0.5911949685534591,1,0.2948717948717949,1,0.6155913978494624,0,0.2733333333333333
"","",3789,-0.7908860928464507,0.4787003610108303,0,0.15625,1,0.6203703703703703,0,0.14285714285714285,0,0.5583941605839416,0,0.6244541484716157,-1,0.1794871794871795,0,0.5888888888888889,1,0.23880597014925373
"","",4796,-8.293798439408969,0.4471180749860101,-1,0.13846153846153847,-2,0.5853658536585366,0,0.345679012345679,-1,0.4888888888888889,-2,0.5673758865248227,0,0.25333333333333335,-1,0.5552631578947368,0,0.24120603015075376
"","",2128,-2.576192159018185,0.43373493975903615,0,0.24528301886792453,-1,0.5185185185185185,-1,0.11475409836065574,-1,0.527027027027027,1,0.6168831168831169,0,0.21052631578947367,0,0.5060240963855421,0,0.18072289156626506
"","",2654,2.1676020212278804,0.4742798353909465,1,0.18055555555555555,1,0.6622516556291391,0,0.12903225806451613,0,0.6,0,0.5641025641025641,1,0.30985915492957744,1,0.5355191256830601,0,0.20481927710843373
"","",3150,-0.8865888709543335,0.49101796407185627,-1,0.208,1,0.6392405063291139,0,0.288135593220339,-1,0.5621890547263682,0,0.6306306306306306,0,0.2972972972972973,0,0.5933014354066986,0,0.256198347107438
"","",3000,-3.544094580351676,0.4379496402877698,0,0.20588235294117646,0,0.574468085106383,0,0.23076923076923078,0,0.49261083743842365,-1,0.5141509433962265,-1,0.17333333333333334,-1,0.548936170212766,0,0.23008849557522124
"","",2292,3.588313954764328,0.4795031055900621,0,0.10714285714285714,1,0.7235772357723578,1,0.34,0,0.4409448818897638,2,0.6257668711656442,0,0.25,0,0.5394736842105263,0,0.25675675675675674
"","",1968,-1.8494836741944443,0.466484268125855,0,0.18181818181818182,1,0.6923076923076923,0,0.2647058823529412,-1,0.448,-1,0.6636363636363637,0,0.21818181818181817,-1,0.5363128491620112,0,0.2682926829268293
