"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",445,0.9118852459016393,349,"79.918437191",0.898876404494382,0.31805157593123207,0.24943820224719102,0.2693409742120344,0.21123595505617979,"8.570969348",4,-1.787381805941283,,NaN,197,0.44269662921348313
691023,"Walker, Jordan",529,0.9027303754266212,380,"79.04220431",0.8582230623818524,0.3131578947368421,0.22495274102079396,0.23684210526315788,0.17013232514177692,"8.318175614",11,12.459470879576184,,NaN,202,0.3818525519848771
665833,"Cruz, Oneil",447,0.9048582995951417,281,"78.461901745",0.7807606263982101,0.3416370106761566,0.21476510067114093,0.24555160142348753,0.15436241610738255,"7.622225302",7,0.29452109952772476,,NaN,137,0.30648769574944074
701762,"Kurtz, Nick",498,0.9054545454545454,335,"78.308589739",0.823293172690763,0.2716417910447761,0.1827309236947791,0.2208955223880597,0.14859437751004015,"7.762824418",14,1.8187426135895017,,NaN,144,0.2891566265060241
666176,"Adell, Jo",622,0.9027576197387518,477,"77.377746511",0.7106109324758842,0.2348008385744235,0.18006430868167203,0.1488469601677149,0.11414790996784566,"7.745635563",12,-14.28014688700474,,NaN,211,0.3392282958199357
701358,"Smith, Cam",487,0.9035250463821892,343,"77.069214908",0.7248459958932236,0.2857142857142857,0.20123203285420946,0.18075801749271136,0.1273100616016427,"7.696203265",8,-15.834777931484563,,NaN,168,0.34496919917864477
656941,"Schwarber, Kyle",533,0.9018612521150592,375,"77.029833302",0.7560975609756097,0.23733333333333334,0.1669793621013133,0.168,0.11819887429643527,"7.472647842",26,6.6669408657550004,,NaN,152,0.2851782363977486
669003,"Mitchell, Garrett",346,0.9033942558746736,221,"76.956769566",0.7514450867052022,0.29411764705882354,0.18786127167630057,0.2171945701357466,0.13872832369942195,"7.207865347",8,-8.427201162511016,,NaN,106,0.3063583815028902
695506,"Caglianone, Jac",465,0.9046692607003891,332,"76.914776645",0.7161290322580646,0.29819277108433734,0.2129032258064516,0.22590361445783133,0.16129032258064516,"7.909255634",9,-3.7748854877887177,,NaN,153,0.32903225806451614
641343,"Bauers, Jake",367,0.9084158415841584,280,"76.89888139",0.7329700272479563,0.3678571428571429,0.28065395095367845,0.22857142857142856,0.17438692098092642,"7.677678719",11,-1.4978175505482172,,NaN,150,0.4087193460490463
677594,"Rodríguez, Julio",585,0.9055727554179567,433,"76.691047077",0.6769230769230768,0.2632794457274827,0.19487179487179487,0.18013856812933027,0.13333333333333333,"7.804583726",9,-8.94289187739508,,NaN,213,0.3641025641025641
575929,"Contreras, Willson",498,0.9038112522686026,360,"76.665218133",0.6927710843373494,0.25,0.18072289156626506,0.16944444444444445,0.12248995983935743,"7.897428373",13,10.200114376014932,,NaN,174,0.3493975903614458
695578,"Wood, James",499,0.9007220216606499,357,"76.447933527",0.653306613226453,0.3333333333333333,0.23847695390781562,0.23809523809523808,0.17034068136272545,"7.397296152",26,0.10458482882093034,,NaN,175,0.35070140280561124
695657,"Montgomery, Colson",516,0.900523560209424,332,"76.220248275",0.6589147286821705,0.2620481927710843,0.1686046511627907,0.18072289156626506,0.11627906976744186,"7.882606492",17,-2.9733440984799664,,NaN,160,0.31007751937984496
665489,"Guerrero Jr., Vladimir",467,0.9085603112840467,383,"76.185707066",0.6359743040685227,0.31592689295039167,0.25910064239828695,0.195822454308094,0.16059957173447537,"7.548701349",3,-14.592102561472341,,NaN,221,0.4732334047109208
592450,"Judge, Aaron",420,0.9051724137931034,292,"76.100967595",0.6452380952380952,0.3150684931506849,0.21904761904761905,0.2054794520547945,0.14285714285714285,"8.110713952",12,5.2669115102781685,,NaN,132,0.3142857142857143
656305,"Chapman, Matt",481,0.9075471698113208,374,"76.030217755",0.6008316008316009,0.232620320855615,0.18087318087318088,0.13903743315508021,0.10810810810810811,"7.35303684",9,-10.28227727806874,,NaN,182,0.3783783783783784
660670,"Acuña Jr., Ronald",385,0.8995327102803738,286,"76.005913506",0.6233766233766234,0.2867132867132867,0.21298701298701297,0.17132867132867133,0.12727272727272726,"7.639172104",16,-11.224921596696229,,NaN,139,0.36103896103896105
670541,"Alvarez, Yordan",508,0.9153153153153153,414,"75.878434154",0.5866141732283464,0.30676328502415456,0.25,0.21739130434782608,0.17716535433070865,"7.60253313",5,10.184240440997996,,NaN,207,0.4074803149606299
665487,"Tatis Jr., Fernando",463,0.8990291262135922,343,"75.528678423",0.5982721382289417,0.36443148688046645,0.26997840172786175,0.23615160349854228,0.17494600431965443,"7.33181311",19,-9.302911304615805,,NaN,202,0.43628509719222464
663586,"Riley, Austin",505,0.9050179211469535,354,"75.519694772",0.5564356435643564,0.3107344632768362,0.21782178217821782,0.17231638418079095,0.12079207920792079,"7.554059584",12,-19.582290212733856,,NaN,173,0.3425742574257426
691723,"Mayo, Coby",311,0.9014492753623189,217,"75.508808039",0.5594855305466238,0.2672811059907834,0.1864951768488746,0.15668202764976957,0.10932475884244373,"7.432716431",4,-7.527735288229022,,NaN,94,0.3022508038585209
682998,"Carroll, Corbin",461,0.90748031496063,343,"75.504527592",0.6008676789587852,0.34402332361516036,0.2559652928416486,0.18075801749271136,0.13449023861171366,"7.528563905",3,5.2407927543168435,,NaN,189,0.40997830802603036
804606,"Griffin, Konnor",355,0.9010152284263959,252,"75.49188262",0.5661971830985916,0.25396825396825395,0.18028169014084508,0.1349206349206349,0.09577464788732394,"7.680807183",9,-3.817570612027801,,NaN,125,0.352112676056338
682985,"Greene, Riley",530,0.905982905982906,370,"75.488257925",0.5679245283018868,0.27837837837837837,0.19433962264150945,0.17567567567567569,0.12264150943396226,"7.278228604",9,-6.35069078432478,,NaN,163,0.30754716981132074
680776,"Duran, Jarren",489,0.9005524861878453,332,"75.389102025",0.5439672801635992,0.2921686746987952,0.1983640081799591,0.18373493975903615,0.12474437627811862,"7.640481472",13,-17.806402880343025,,NaN,176,0.35991820040899797
670042,"Raley, Luke",381,0.9049881235154394,229,"75.366937743",0.5695538057742783,0.3056768558951965,0.1837270341207349,0.20087336244541484,0.12073490813648294,"7.31606378",7,-5.478206823828209,,NaN,116,0.30446194225721784
669127,"Langeliers, Shea",473,0.9113680154142582,347,"75.298136173",0.5391120507399578,0.3285302593659942,0.24101479915433405,0.18155619596541786,0.1331923890063425,"7.252477928",2,-0.5838875452733631,,NaN,187,0.3953488372093023
696100,"Goodman, Hunter",497,0.9136029411764706,334,"75.227817143",0.5271629778672032,0.2694610778443114,0.18108651911468812,0.15868263473053892,0.10663983903420524,"7.414017465",8,-3.929283229178858,,NaN,146,0.2937625754527163
808959,"Murakami, Munetaka",401,0.9011235955056179,241,"75.173392569",0.5461346633416458,0.3360995850622407,0.20199501246882792,0.23236514522821577,0.1396508728179551,"7.904293392",12,-2.2871200919701318,,NaN,111,0.27680798004987534
669394,"Burger, Jake",479,0.9020715630885122,322,"75.164577724",0.5532359081419624,0.3416149068322981,0.22964509394572025,0.20496894409937888,0.13778705636743216,"7.463973883",20,-4.920666689538592,,NaN,182,0.37995824634655534
545361,"Trout, Mike",482,0.9043151969981238,387,"75.08454917",0.5248962655601659,0.2868217054263566,0.23029045643153526,0.1834625322997416,0.14730290456431536,"7.521379959",12,-3.49222518492148,,NaN,172,0.35684647302904565
686948,"Baldwin, Drake",402,0.903370786516854,311,"75.0176701",0.5273631840796021,0.33440514469453375,0.25870646766169153,0.20257234726688103,0.15671641791044777,"7.307121592",9,5.296740338560423,,NaN,144,0.3582089552238806
694212,"Basallo, Samuel",388,0.9023255813953488,278,"74.983349871",0.5180412371134021,0.3345323741007194,0.23969072164948454,0.2014388489208633,0.14432989690721648,"7.620570464",12,-2.053878043923991,,NaN,143,0.36855670103092786
671739,"Harris II, Michael",452,0.905811623246493,343,"74.981882235",0.5022123893805309,0.3236151603498542,0.24557522123893805,0.22740524781341107,0.17256637168141592,"8.184461681",8,1.491189925079594,,NaN,173,0.3827433628318584
691718,"Crow-Armstrong, Pete",554,0.9008130081300812,427,"74.916388953",0.5108303249097472,0.2997658079625293,0.23104693140794225,0.18266978922716628,0.1407942238267148,"7.37642352",23,1.464598280296078,,NaN,189,0.34115523465703973
621566,"Olson, Matt",574,0.9039370078740158,448,"74.89617885",0.5121951219512194,0.31026785714285715,0.2421602787456446,0.20089285714285715,0.156794425087108,"7.518681185",15,1.6849822491423214,,NaN,207,0.3606271777003484
669065,"Stowers, Kyle",396,0.9061784897025171,271,"74.870752727",0.494949494949495,0.2952029520295203,0.20202020202020202,0.1881918819188192,0.12878787878787878,"6.777130404",9,-7.463645189674183,,NaN,125,0.31565656565656564
683357,"Caissie, Owen",349,0.9018087855297158,234,"74.847844241",0.5243553008595988,0.2777777777777778,0.18624641833810887,0.15384615384615385,0.10315186246418338,"7.085202006",12,-4.300173388670584,,NaN,100,0.28653295128939826
691785,"Mayer, Marcelo",338,0.9061662198391421,255,"74.797851686",0.4911242603550296,0.2784313725490196,0.21005917159763313,0.11764705882352941,0.08875739644970414,"7.92885503",8,-12.10987023689089,,NaN,144,0.4260355029585799
641857,"McMahon, Ryan",325,0.9002770083102493,238,"74.733686892",0.5015384615384616,0.3235294117647059,0.23692307692307693,0.19747899159663865,0.14461538461538462,"7.335063969",14,-6.954656543326025,,NaN,119,0.36615384615384616
624413,"Alonso, Pete",529,0.9089347079037801,399,"74.713827883",0.4782608695652173,0.3458646616541353,0.2608695652173913,0.22055137844611528,0.166351606805293,"7.186765803",12,-8.410353615065702,,NaN,197,0.3724007561436673
683146,"Baty, Brett",416,0.9043478260869565,306,"74.704385745",0.514423076923077,0.2908496732026144,0.21394230769230768,0.14052287581699346,0.10336538461538461,"7.386608101",13,-14.507520285928672,,NaN,145,0.3485576923076923
686527,"Canzone, Dominic",313,0.9072463768115943,226,"74.698201853",0.4504792332268371,0.39823008849557523,0.28753993610223644,0.24336283185840707,0.1757188498402556,"7.411677029",7,0.876538567440083,,NaN,130,0.41533546325878595
624585,"Soler, Jorge",417,0.9045553145336226,279,"74.690311391",0.4964028776978418,0.25089605734767023,0.16786570743405277,0.15053763440860216,0.10071942446043165,"7.881048129",4,-6.160096444653797,,NaN,134,0.3213429256594724
663728,"Raleigh, Cal",402,0.9013452914798207,282,"74.681766841",0.49502487562189046,0.19148936170212766,0.13432835820895522,0.09219858156028368,0.06467661691542288,"7.843788582",9,-20.32398497497274,,NaN,103,0.2562189054726368
606466,"Marte, Ketel",472,0.9076923076923077,380,"74.629995297",0.45762711864406774,0.3394736842105263,0.2733050847457627,0.21578947368421053,0.17372881355932204,"7.732060953",5,-7.123208528205562,,NaN,213,0.451271186440678
660271,"Ohtani, Shohei",484,0.9046728971962616,351,"74.626510661",0.48347107438016523,0.37037037037037035,0.26859504132231404,0.20797720797720798,0.15082644628099173,"7.823898244",6,0.8204619973870173,,NaN,174,0.359504132231405
682829,"De La Cruz, Elly",381,0.9071428571428571,275,"74.507073255",0.4566929133858269,0.3527272727272727,0.2545931758530184,0.2290909090909091,0.16535433070866143,"7.008773911",7,6.586380581291712,,NaN,144,0.3779527559055118
683002,"Henderson, Gunnar",597,0.9018126888217523,460,"74.505347203",0.4539363484087102,0.2891304347826087,0.22278056951423786,0.14782608695652175,0.11390284757118928,"7.347021256",12,-6.845326978513401,,NaN,217,0.36348408710217756
