Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Ryan Rolison,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.333,,,1.0,1,0,0,0
JoJo Romero,0.0,,,0.87,5.23,2.61,0.0,0.154,0.077,0.171,,,10.1,9,0,0,0
Tyler Samaniego,0.0,,,0.82,9.82,7.36,0.0,0.286,0.214,0.0,,,3.2,3,0,0,0
Tony Santillan,0.0,,,1.0,11.25,6.75,0.0,0.333,0.2,0.083,,,8.0,8,0,1,0
Jesse Scholtens,0.0,,,1.07,7.71,1.93,0.0,0.235,0.059,0.25,,,4.2,1,0,0,0
Antonio Senzatela,0.0,,,0.57,10.95,2.19,0.0,0.349,0.07,0.1,,,12.1,5,0,0,0
Chase Shugart,0.0,,,1.5,13.5,4.5,0.0,0.375,0.125,0.286,,,2.0,1,0,0,0
Evan Sisk,0.0,,,1.0,13.5,4.5,0.0,0.333,0.111,0.143,,,2.0,1,0,0,0
Justin Slaten,0.0,,,1.2,13.5,5.4,0.0,0.357,0.143,0.167,,,3.1,4,0,0,1
Ryan Thompson,0.0,,,0.65,5.87,3.52,0.0,0.179,0.107,0.08,,,7.2,11,0,1,0
Tyler Tolbert,0.0,,,1.5,0.0,0.0,0.0,0.0,0.0,0.5,,,0.2,1,0,0,0
Blake Treinen,0.0,,,0.88,7.94,4.76,0.0,0.227,0.136,0.105,,,5.2,7,0,1,0
Walbert Urena,0.0,,,4.8,10.8,16.2,0.0,0.133,0.2,0.417,,,1.2,2,0,0,1
Louis Varland,0.0,,,0.97,13.06,2.61,0.0,0.395,0.079,0.206,,,10.1,9,0,1,1
Alex Vesia,0.0,,,0.68,11.05,3.68,0.0,0.333,0.111,0.083,,,7.1,8,0,0,0
Devin Williams,0.0,,,1.4,12.6,3.6,0.0,0.333,0.095,0.263,,,5.0,5,0,0,0
Cole Winn,0.0,,,1.04,8.22,3.52,0.0,0.226,0.097,0.185,,,7.2,8,0,1,0
Brandon Young,0.0,,,0.8,3.6,3.6,0.0,0.111,0.111,0.125,,,5.0,1,1,1,0
José Soriano,0.33,,,0.67,10.33,3.0,0.33,0.32,0.093,0.103,,,27.0,4,4,4,0
Michael Wacha,0.43,,,0.71,7.29,2.14,0.43,0.23,0.068,0.147,,,21.0,3,3,2,0
Parker Messick,0.51,,,0.91,8.15,2.55,0.51,0.242,0.076,0.18,,,17.2,3,3,2,0
Chad Patrick,0.73,,,1.38,5.11,3.65,0.73,0.137,0.098,0.261,,,12.1,3,2,1,0
Hunter Brown,0.84,,,1.03,14.34,5.06,0.0,0.395,0.14,0.135,,,10.2,2,2,1,0
Tyler Phillips,0.84,,,1.03,10.13,4.22,0.0,0.267,0.111,0.154,,,10.2,5,0,0,0
Tyler Alexander,0.96,,,1.18,8.68,2.89,0.0,0.231,0.077,0.242,,,9.1,8,0,0,0
Braydon Fisher,0.96,,,0.75,11.57,0.96,0.96,0.375,0.031,0.2,,,9.1,7,0,0,0
Bradgley Rodriguez,0.96,,,1.07,9.64,0.96,0.0,0.27,0.027,0.257,,,9.1,7,0,0,0
Bryce Elder,1.02,,,1.02,8.15,2.55,0.51,0.235,0.074,0.206,,,17.2,3,3,1,1
Randy Vásquez,1.02,,,1.08,9.68,2.04,0.51,0.275,0.058,0.238,,,17.2,3,3,1,0
Anthony Nunez,1.04,,,0.58,11.42,1.04,1.04,0.344,0.031,0.129,,,8.2,8,0,0,0
Gregory Soto,1.04,,,0.81,13.5,5.19,1.04,0.382,0.147,0.071,,,8.2,9,0,0,0
Gordon Graceffo,1.08,,,0.96,5.4,6.48,0.0,0.156,0.188,0.08,,,8.1,6,0,1,0
Casey Legumina,1.08,,,1.08,7.56,1.08,0.0,0.206,0.029,0.258,,,8.1,6,0,0,0
Grant Taylor,1.08,,,0.96,10.8,2.16,0.0,0.303,0.061,0.194,,,8.1,7,4,0,0
Tim Hill,1.13,,,0.63,3.38,0.0,0.0,0.111,0.0,0.185,,,8.0,8,0,0,0
Andrew Hoffmann,1.13,,,1.13,9.0,5.63,1.13,0.235,0.147,0.148,,,8.0,5,0,1,0
Bryan King,1.13,,,1.25,12.38,3.38,0.0,0.324,0.088,0.233,,,8.0,7,0,0,0
Drew Rasmussen,1.13,,,0.56,9.56,0.56,1.13,0.288,0.017,0.138,,,16.0,3,3,1,0
Dennis Santana,1.13,,,0.75,6.75,4.5,0.0,0.214,0.143,0.083,,,8.0,8,0,2,0
Will Klein,1.17,,,1.17,10.57,3.52,0.0,0.3,0.1,0.222,,,7.2,5,0,1,0
Dylan Lee,1.17,,,0.65,8.22,0.0,0.0,0.25,0.0,0.179,,,7.2,8,0,0,0
Tanner Scott,1.17,,,0.65,9.39,0.0,1.17,0.296,0.0,0.185,,,7.2,9,0,0,0
Brock Burke,1.23,,,0.82,8.59,3.68,0.0,0.269,0.115,0.13,,,7.1,7,0,1,0
Matt Gage,1.23,,,1.09,7.36,4.91,0.0,0.214,0.143,0.167,,,7.1,8,0,1,0
Connor Seabold,1.23,,,1.23,8.59,3.68,1.23,0.233,0.1,0.231,,,7.1,4,0,0,0
Taj Bradley,1.25,,,1.25,12.05,3.32,0.0,0.312,0.086,0.229,,,21.2,4,4,3,0
Brennan Bernardino,1.29,,,1.29,6.43,3.86,0.0,0.172,0.103,0.231,,,7.0,9,1,1,0
Caleb Kilian,1.29,,,0.86,12.86,5.14,1.29,0.37,0.148,0.095,,,7.0,8,0,0,0
Tyler Kinley,1.29,,,0.86,6.43,2.57,0.0,0.192,0.077,0.167,,,7.0,8,0,2,0
Robert Suarez,1.29,,,1.14,10.29,1.29,0.0,0.286,0.036,0.259,,,7.0,7,0,2,0
Eduard Bazardo,1.35,,,1.2,8.1,4.05,0.0,0.222,0.111,0.217,,,6.2,7,0,0,0
Jhoan Duran,1.35,,,0.75,10.8,0.0,0.0,0.333,0.0,0.208,,,6.2,7,0,1,1
Luis Medina,1.35,,,1.2,10.8,5.4,1.35,0.286,0.143,0.167,,,6.2,5,0,0,1
Brooks Raley,1.35,,,0.9,12.15,4.05,0.0,0.346,0.115,0.136,,,6.2,7,0,0,1
Jaden Hill,1.42,,,0.79,8.53,2.84,0.0,0.25,0.083,0.136,,,6.1,7,0,0,1
Daniel Lynch IV,1.42,,,0.79,11.37,4.26,0.0,0.308,0.115,0.091,,,6.1,5,0,0,0
Jeffrey Springs,1.46,,,0.77,7.3,2.92,0.0,0.22,0.088,0.134,,,24.2,4,4,3,0
Aroldis Chapman,1.5,,,0.67,9.0,3.0,0.0,0.273,0.091,0.105,,,6.0,6,0,0,1
Clay Holmes,1.5,,,1.11,6.0,4.0,0.5,0.167,0.111,0.188,,,18.0,3,3,2,1
Seth Lugo,1.53,,,1.08,7.13,3.06,0.0,0.203,0.087,0.206,,,17.2,3,3,1,1
Yohan Ramírez,1.54,,,0.94,10.03,4.63,0.0,0.283,0.13,0.125,,,11.2,8,0,2,0
Yennier Cano,1.59,,,0.53,12.71,0.0,0.0,0.4,0.0,0.15,,,5.2,9,0,1,1
Fernando Cruz,1.59,,,1.24,12.71,9.53,0.0,0.333,0.25,0.056,,,5.2,8,0,1,0
Enyel De Los Santos,1.59,,,0.88,6.35,1.59,1.59,0.182,0.045,0.19,,,5.2,5,0,0,0
Ryan Yarbrough,1.59,,,1.06,6.35,3.18,0.0,0.182,0.091,0.211,,,5.2,4,0,0,0
Edward Cabrera,1.62,,,1.14,7.02,4.86,0.0,0.197,0.136,0.182,,,16.2,3,3,1,0
Hunter Bigge,1.69,,,1.13,3.38,8.44,1.69,0.091,0.227,0.059,,,5.1,5,0,0,0
Isaac Mattson,1.69,,,1.59,7.59,4.22,0.0,0.191,0.106,0.286,,,10.2,10,0,0,0
Aaron Civale,1.72,,,0.96,6.89,2.87,1.15,0.194,0.081,0.182,,,15.2,3,3,2,0
Jacob Latz,1.74,,,0.58,8.71,2.61,0.87,0.263,0.079,0.086,,,10.1,7,1,0,1
Keider Montero,1.74,,,0.68,8.71,1.74,0.0,0.263,0.053,0.139,,,10.1,2,2,1,1
Jovani Morán,1.74,,,0.87,10.45,4.35,0.87,0.3,0.125,0.114,,,10.1,5,0,0,0
Foster Griffin,1.76,,,1.11,7.04,3.52,1.17,0.19,0.095,0.196,,,15.1,3,3,2,0
Danny Coulombe,1.8,,,1.2,3.6,3.6,1.8,0.1,0.1,0.222,,,5.0,8,0,0,0
Andrew Nardi,1.8,,,1.0,12.6,5.4,0.0,0.368,0.158,0.125,,,5.0,6,0,1,0
Max Fried,1.93,,,0.75,6.43,1.61,0.0,0.19,0.048,0.167,,,28.0,4,4,2,0
Brent Headrick,1.93,,,1.71,11.57,4.82,0.0,0.267,0.111,0.297,,,9.1,11,0,1,0
Paxton Schultz,1.93,,,1.07,11.57,1.93,1.93,0.286,0.048,0.222,,,4.2,3,0,0,0
Eduardo Rodriguez,1.96,,,1.22,5.48,3.52,0.78,0.146,0.094,0.218,,,23.0,4,4,1,0
Graham Ashcraft,2.0,,,1.0,13.0,3.0,0.0,0.382,0.088,0.194,,,9.0,9,0,0,0
Jimmy Herget,2.0,,,0.78,6.0,1.0,0.0,0.176,0.029,0.207,,,9.0,8,2,0,1
Erik Sabrowski,2.0,,,0.78,14.0,3.0,1.0,0.412,0.088,0.129,,,9.0,10,0,0,0
Cristopher Sánchez,2.01,,,1.39,12.49,2.82,0.4,0.326,0.074,0.273,,,22.1,4,4,2,1
Emerson Hancock,2.04,,,0.74,9.68,1.53,0.51,0.306,0.048,0.172,,,17.2,3,3,2,1
Shawn Armstrong,2.08,,,1.5,12.46,5.19,2.08,0.316,0.132,0.242,,,8.2,9,0,1,0
Mitch Farris,2.08,,,1.62,6.23,4.15,2.08,0.158,0.105,0.294,,,4.1,3,0,0,0
Sam Moll,2.08,,,0.69,7.27,6.23,0.0,0.2,0.171,0.0,,,8.2,8,0,1,0
Justin Sterner,2.08,,,1.62,9.35,4.15,1.04,0.231,0.103,0.286,,,8.2,8,0,0,1
Brent Suter,2.08,,,1.08,9.0,2.77,0.69,0.265,0.082,0.222,,,13.0,6,0,0,1
Yoshinobu Yamamoto,2.1,,,0.82,7.36,1.05,1.05,0.221,0.032,0.198,,,25.2,4,4,2,1
Braxton Ashcraft,2.12,,,1.0,10.59,2.65,0.0,0.303,0.076,0.2,,,17.0,3,3,1,1
Justin Wrobleski,2.12,,,0.76,3.18,2.65,0.0,0.095,0.079,0.138,,,17.0,3,2,2,0
Nick Martinez,2.16,,,0.96,5.94,2.16,1.62,0.167,0.061,0.194,,,16.2,3,3,0,0
Hoby Milner,2.16,,,0.84,1.08,0.0,1.08,0.031,0.0,0.233,,,8.1,8,0,0,0
Tomoyuki Sugano,2.16,,,0.78,6.48,1.62,2.16,0.19,0.048,0.167,,,16.2,3,3,1,0
Bryan Woo,2.16,,,0.92,7.2,1.8,0.0,0.206,0.052,0.2,,,25.0,4,4,0,2
Reynaldo López,2.18,,,1.11,8.27,3.48,1.31,0.226,0.095,0.203,,,20.2,4,4,1,0
Cade Povich,2.19,,,0.97,5.11,2.19,0.73,0.146,0.062,0.2,,,12.1,2,1,1,0
Tarik Skubal,2.22,,,0.95,8.51,1.48,0.37,0.242,0.042,0.213,,,24.1,4,4,2,2
Garrett Acton,2.25,,,0.75,11.25,4.5,0.0,0.333,0.133,0.091,,,4.0,2,0,1,0
Cooper Criswell,2.25,,,1.13,9.0,3.38,2.25,0.276,0.103,0.231,,,8.0,5,0,0,0
Didier Fuentes,2.25,,,0.75,9.0,2.25,0.0,0.267,0.067,0.154,,,4.0,1,0,0,0
Sean Manaea,2.25,,,1.33,7.5,4.5,0.75,0.196,0.118,0.222,,,12.0,4,0,0,0
George Soriano,2.25,,,0.88,5.63,4.5,0.0,0.156,0.125,0.115,,,8.0,7,0,1,0
Nolan McLean,2.28,,,0.76,10.65,3.04,0.38,0.315,0.09,0.125,,,23.2,4,4,1,1
Connelly Early,2.29,,,1.27,9.15,4.58,0.46,0.238,0.119,0.211,,,19.2,4,4,1,0
Kyle Freeland,2.3,,,1.09,7.47,2.3,0.57,0.194,0.06,0.22,,,15.2,3,3,1,1
Kody Funderburk,2.35,,,1.7,9.39,8.22,1.17,0.222,0.194,0.214,,,7.2,10,0,1,1
Gavin Williams,2.38,,,1.15,11.51,6.35,1.19,0.326,0.18,0.137,,,22.2,4,4,2,1
Kevin Gausman,2.42,,,0.85,12.49,2.01,0.81,0.352,0.057,0.171,,,22.1,4,4,0,1
Robbie Ray,2.42,,,1.03,9.67,4.03,1.61,0.273,0.114,0.167,,,22.1,4,4,2,2
Dylan Cease,2.45,,,1.43,15.95,5.52,0.0,0.388,0.134,0.211,,,14.2,3,3,0,0
Zach Eflin,2.45,,,1.64,17.18,4.91,2.45,0.412,0.118,0.267,,,3.2,1,1,0,0
Ryan Helsley,2.45,,,1.5,13.5,4.91,0.0,0.333,0.121,0.241,,,7.1,8,0,0,1
Cade Horton,2.45,,,0.82,4.91,2.45,1.23,0.154,0.077,0.167,,,7.1,2,2,1,0
Kenley Jansen,2.45,,,0.82,14.73,2.45,2.45,0.429,0.071,0.154,,,3.2,5,0,0,0
Anthony Kay,2.45,,,1.16,6.75,4.91,1.23,0.172,0.125,0.167,,,14.2,3,2,1,0
Wandy Peralta,2.45,,,1.5,7.36,2.45,1.23,0.188,0.062,0.3,,,7.1,8,0,0,0
Paul Sewald,2.45,,,0.55,12.27,0.0,2.45,0.385,0.0,0.154,,,7.1,9,0,0,2
Will Warren,2.45,,,1.25,9.82,2.95,0.98,0.25,0.075,0.233,,,18.1,4,4,1,0
Michael McGreevy,2.49,,,0.83,4.98,1.25,1.25,0.146,0.037,0.19,,,21.2,4,4,1,1
Cam Schlittler,2.49,,,0.74,12.46,0.42,0.0,0.37,0.012,0.19,,,21.2,4,4,2,1
Kris Bubic,2.5,,,0.83,11.5,3.5,1.0,0.338,0.103,0.131,,,18.0,3,3,2,1
Davis Martin,2.5,,,1.11,7.5,2.0,1.0,0.214,0.057,0.246,,,18.0,3,3,2,1
Carmen Mlodzinski,2.51,,,1.6,9.42,3.77,0.0,0.234,0.094,0.298,,,14.1,3,3,0,0
Hogan Harris,2.53,,,1.78,8.44,10.13,0.0,0.196,0.235,0.179,,,10.2,10,0,0,0
Jose A. Ferrer,2.57,,,1.29,7.71,1.29,0.0,0.2,0.033,0.286,,,7.0,8,0,0,0
Victor Vodnik,2.57,,,1.57,6.43,3.86,1.29,0.161,0.097,0.308,,,7.0,6,0,0,1
Garrett Whitlock,2.57,,,1.43,14.14,6.43,1.29,0.355,0.161,0.192,,,7.0,7,0,0,1
Joey Cantillo,2.61,,,1.21,10.45,3.92,0.87,0.296,0.111,0.222,,,20.2,4,4,1,0
Connor Phillips,2.61,,,1.45,8.71,8.71,0.87,0.222,0.222,0.143,,,10.1,9,0,1,0
Sandy Alcantara,2.67,,,0.86,6.53,1.78,0.89,0.19,0.052,0.183,,,30.1,4,4,2,1
Lucas Erceg,2.7,,,1.05,5.4,2.7,0.0,0.167,0.083,0.227,,,6.2,7,0,0,0
Bryan Hudson,2.7,,,1.5,10.8,5.4,0.0,0.258,0.129,0.273,,,6.2,7,0,0,0
Nick Mears,2.7,,,1.2,8.1,5.4,0.0,0.222,0.148,0.182,,,6.2,7,0,1,1
Michael King,2.78,,,1.15,7.94,3.97,0.4,0.215,0.108,0.205,,,22.2,4,4,2,1
Kai-Wei Teng,2.79,,,0.93,10.24,3.72,1.86,0.289,0.105,0.147,,,9.2,7,0,1,0
Shota Imanaga,2.81,,,0.81,11.25,2.25,0.56,0.333,0.067,0.161,,,16.0,3,3,0,1
Jack Dreyer,2.84,,,1.11,9.95,4.26,0.0,0.28,0.12,0.182,,,6.1,7,0,1,0
Chase Silseth,2.84,,,1.58,11.37,8.53,1.42,0.276,0.207,0.182,,,6.1,9,0,0,0
Mitch Keller,2.86,,,1.23,5.73,3.68,0.41,0.156,0.1,0.225,,,22.0,4,4,1,1
Michael Soroka,2.87,,,1.21,13.21,3.45,0.57,0.343,0.09,0.224,,,15.2,3,3,3,0
Jacob deGrom,2.87,,,0.96,12.64,2.3,1.72,0.361,0.066,0.193,,,15.2,3,3,1,0
Ron Marinaccio,2.89,,,0.75,7.71,0.96,0.96,0.242,0.03,0.188,,,9.1,6,0,0,0
Jack Anderson,3.0,,,0.67,12.0,3.0,3.0,0.364,0.091,0.1,,,3.0,1,0,0,0
Lake Bachar,3.0,,,1.0,14.0,4.0,0.0,0.389,0.111,0.167,,,9.0,5,0,0,0
Paul Blackburn,3.0,,,2.0,6.0,3.0,0.0,0.133,0.067,0.357,,,6.0,5,0,1,1
MacKenzie Gore,3.0,,,1.1,12.86,4.71,0.86,0.353,0.129,0.167,,,21.0,4,4,2,1
Brant Hurter,3.0,,,1.33,6.0,4.5,1.5,0.16,0.12,0.227,,,6.0,6,0,1,0
Tim Mayza,3.0,,,0.67,10.0,3.0,0.0,0.286,0.086,0.097,,,9.0,8,0,0,1
Juan Morillo,3.0,,,1.0,8.0,4.0,1.0,0.222,0.111,0.156,,,9.0,10,0,0,1
Andrew Morris,3.0,,,2.0,6.0,0.0,0.0,0.133,0.0,0.429,,,3.0,1,0,0,0
Andrés Muñoz,3.0,,,1.33,13.5,6.0,1.5,0.346,0.154,0.182,,,6.0,6,0,2,1
Gabe Speier,3.0,,,1.0,9.0,1.5,0.0,0.25,0.042,0.263,,,6.0,7,0,0,2
Caleb Thielbar,3.0,,,1.33,12.0,6.0,1.5,0.296,0.148,0.174,,,6.0,7,0,1,2
Blade Tidwell,3.0,,,1.0,7.5,1.5,1.5,0.227,0.045,0.238,,,6.0,4,0,0,0
Trevor Rogers,3.04,,,1.27,7.61,2.28,0.38,0.204,0.061,0.264,,,23.2,4,4,2,1
Kyle Harrison,3.07,,,1.09,9.2,2.45,1.23,0.25,0.067,0.222,,,14.2,3,3,1,1
Martín Pérez,3.14,,,0.91,3.77,2.51,0.63,0.113,0.075,0.191,,,14.1,3,2,0,1
Carter Baumler,3.18,,,1.76,9.53,9.53,1.59,0.222,0.222,0.2,,,5.2,4,0,0,0
Seranthony Domínguez,3.18,,,1.41,11.12,6.35,1.59,0.269,0.154,0.182,,,5.2,6,0,1,1
Jose Franco,3.18,,,2.12,6.35,7.94,0.0,0.148,0.185,0.318,,,5.2,3,0,0,0
Clayton Beeter,3.24,,,1.08,6.48,6.48,2.16,0.171,0.171,0.107,,,8.1,8,0,0,0
JT Brubaker,3.24,,,1.8,6.48,7.56,1.08,0.167,0.194,0.276,,,8.1,7,0,0,0
Jack Kochanowicz,3.24,,,1.26,6.48,5.94,0.0,0.167,0.153,0.164,,,16.2,3,3,2,0
Landen Roupp,3.24,,,1.14,9.72,2.7,0.0,0.261,0.072,0.219,,,16.2,3,3,2,1
George Kirby,3.25,,,0.94,7.16,1.95,0.98,0.214,0.058,0.208,,,27.2,4,4,2,2
J.T. Ginn,3.27,,,0.91,6.55,2.45,0.82,0.19,0.071,0.184,,,11.0,4,1,0,0
Tobias Myers,3.27,,,0.64,5.73,0.82,0.82,0.179,0.026,0.158,,,11.0,5,0,0,1
Chris Sale,3.27,,,1.05,9.0,2.45,1.64,0.247,0.067,0.213,,,22.0,4,4,3,1
Chase Burns,3.31,,,1.29,9.92,4.41,1.65,0.257,0.114,0.21,,,16.1,3,3,1,1
Rhett Lowder,3.31,,,1.22,6.06,3.31,0.55,0.159,0.087,0.222,,,16.1,3,3,1,1
Grant Holmes,3.32,,,1.11,7.06,4.15,0.83,0.193,0.114,0.182,,,21.2,4,4,1,1
Jacob Misiorowski,3.32,,,1.02,13.71,3.74,1.66,0.375,0.102,0.169,,,21.2,4,4,1,1
Erick Fedde,3.38,,,1.06,6.75,1.69,1.13,0.188,0.047,0.237,,,16.0,3,2,0,3
Merrill Kelly,3.38,,,1.69,5.06,6.75,1.69,0.125,0.167,0.263,,,5.1,1,1,1,0
Michael Petersen,3.38,,,1.13,7.88,4.5,1.13,0.212,0.121,0.172,,,8.0,7,0,1,1
Tyler Uberstine,3.38,,,1.5,6.75,3.38,3.38,0.182,0.091,0.3,,,2.2,1,0,0,1
Austin Voth,3.38,,,1.5,3.38,3.38,0.0,0.083,0.083,0.273,,,2.2,1,0,0,0
Grant Wolfram,3.38,,,1.0,14.63,0.0,0.0,0.394,0.0,0.258,,,8.0,8,0,1,0
Taylor Clarke,3.48,,,0.68,5.23,0.0,0.87,0.162,0.0,0.194,,,10.1,10,0,1,0
Robert Garcia,3.52,,,1.57,7.04,8.22,0.0,0.182,0.212,0.192,,,7.2,8,0,0,1
Eric Orze,3.52,,,1.43,5.87,4.7,0.0,0.152,0.121,0.241,,,7.2,7,0,0,0
Ryne Nelson,3.54,,,1.03,8.41,3.54,1.77,0.221,0.093,0.169,,,20.1,4,4,1,1
Aaron Ashby,3.55,,,1.26,13.5,3.55,0.71,0.365,0.096,0.234,,,12.2,9,1,3,0
Ben Brown,3.55,,,1.18,9.95,3.55,0.71,0.275,0.098,0.222,,,12.2,5,0,0,0
Reid Detmers,3.57,,,1.06,10.32,2.38,0.4,0.277,0.064,0.212,,,22.2,4,4,1,1
Sean Burke,3.6,,,1.07,9.0,1.8,0.0,0.242,0.048,0.224,,,15.0,3,2,0,1
Zac Gallen,3.6,,,1.45,4.95,3.15,0.9,0.129,0.082,0.286,,,20.0,4,4,1,1
Dean Kremer,3.6,,,1.2,16.2,0.0,5.4,0.429,0.0,0.286,,,5.0,1,1,0,0
Colin Rea,3.63,,,0.98,7.79,1.56,1.04,0.217,0.043,0.222,,,17.1,4,1,2,0
Richard Lovelady,3.68,,,1.64,7.36,4.91,1.23,0.188,0.125,0.286,,,7.1,6,0,1,1
Zach Pop,3.68,,,1.09,7.36,3.68,0.0,0.194,0.097,0.2,,,7.1,7,1,0,0
Taylor Rogers,3.68,,,1.64,8.59,3.68,0.0,0.212,0.091,0.3,,,7.1,8,0,0,0
Keaton Winn,3.68,,,0.82,11.05,2.45,0.0,0.321,0.071,0.154,,,7.1,8,0,0,1
Jake Woodford,3.68,,,1.36,6.14,2.45,1.23,0.161,0.065,0.276,,,7.1,5,0,1,0
Grant Anderson,3.72,,,1.14,8.38,4.66,0.0,0.231,0.128,0.176,,,9.2,9,0,0,1
Osvaldo Bido,3.72,,,0.83,5.59,3.72,0.0,0.167,0.111,0.133,,,9.2,5,0,1,0
Framber Valdez,3.75,,,1.25,4.88,2.63,0.0,0.125,0.067,0.24,,,24.0,4,4,1,1
Andrew Painter,3.77,,,1.33,10.05,1.88,0.0,0.262,0.049,0.291,,,14.1,3,2,1,0
Cole Ragans,3.78,,,1.38,8.64,5.4,1.62,0.239,0.149,0.228,,,16.2,4,4,0,3
Joe Ryan,3.8,,,0.98,9.28,2.53,0.42,0.259,0.071,0.197,,,21.1,4,4,2,1
Jonathan Bowlan,3.86,,,1.29,10.29,1.29,0.0,0.276,0.034,0.286,,,7.0,7,0,1,0
Bubba Chandler,3.86,,,1.57,9.0,7.71,1.29,0.222,0.19,0.2,,,14.0,3,3,0,1
Spencer Miles,3.86,,,1.18,7.71,2.89,1.93,0.216,0.081,0.235,,,9.1,5,0,1,0
Freddy Peralta,3.86,,,1.14,10.71,3.43,1.29,0.281,0.09,0.203,,,21.0,4,4,1,1
Cody Ponce,3.86,,,0.86,11.57,3.86,0.0,0.3,0.1,0.111,,,2.1,1,1,0,0
Noah Cameron,3.94,,,1.25,7.88,2.25,1.13,0.209,0.06,0.254,,,16.0,3,3,1,0
