Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Jason Adam,0.0,,,0.6,0.0,5.4,0.0,0.0,0.2,0.0,,,1.2,3,0,0,0
Jalen Beeks,0.0,,,1.05,5.4,1.35,0.0,0.154,0.038,0.24,,,6.2,7,0,1,0
Matt Brash,0.0,,,0.67,6.0,1.5,0.0,0.19,0.048,0.167,,,6.0,7,0,1,0
Huascar Brazobán,0.0,,,0.72,6.48,0.0,0.0,0.2,0.0,0.2,,,8.1,7,0,1,0
Duncan Davitt,0.0,,,1.0,0.0,9.0,0.0,0.0,0.333,0.0,,,1.0,1,0,0,0
Dylan Dodd,0.0,,,0.33,6.0,0.0,0.0,0.2,0.0,0.1,,,3.0,1,0,0,0
Lazaro Estrada,0.0,,,0.5,6.75,4.5,0.0,0.214,0.143,0.0,,,4.0,1,0,0,0
Ryan Fernandez,0.0,,,2.4,10.8,0.0,0.0,0.222,0.0,0.444,,,1.2,1,0,0,0
Kyle Finnegan,0.0,,,1.5,4.05,9.45,0.0,0.111,0.259,0.15,,,6.2,7,0,0,0
Rico Garcia,0.0,,,0.33,10.0,3.0,0.0,0.333,0.1,0.0,,,9.0,9,0,1,0
Joey Gerber,0.0,,,1.5,22.5,4.5,0.0,0.556,0.111,0.25,,,2.0,1,0,0,0
Ryan Gusto,0.0,,,0.0,9.0,0.0,0.0,0.333,0.0,0.0,,,1.0,1,0,0,0
DL Hall,0.0,,,1.2,10.8,6.48,0.0,0.294,0.176,0.148,,,8.1,7,0,0,0
Austin Hedges,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1,1,0,0,0
Tim Herrin,0.0,,,1.75,6.75,6.75,0.0,0.158,0.158,0.286,,,4.0,7,0,0,1
P.J. Higgins,0.0,,,0.0,9.0,0.0,0.0,0.333,0.0,0.0,,,1.0,1,0,0,0
Tyler Holton,0.0,,,0.95,7.11,5.68,0.0,0.2,0.16,0.1,,,6.1,6,0,0,0
Raisel Iglesias,0.0,,,0.45,9.45,0.0,0.0,0.318,0.0,0.136,,,6.2,6,0,0,0
Jakob Junis,0.0,,,0.5,6.75,1.13,0.0,0.214,0.036,0.115,,,8.0,7,0,0,0
Craig Kimbrel,0.0,,,1.0,9.0,0.0,0.0,0.286,0.0,0.286,,,2.0,2,0,0,0
John King,0.0,,,0.6,9.0,5.4,0.0,0.263,0.158,0.0,,,5.0,7,0,1,0
Jared Koenig,0.0,,,2.14,15.43,7.71,0.0,0.308,0.154,0.273,,,2.1,3,0,0,0
Christian Koss,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Joel Kuhnel,0.0,,,0.3,2.7,0.0,0.0,0.091,0.0,0.1,,,3.1,4,0,0,0
Riley Martin,0.0,,,0.46,8.31,0.0,0.0,0.286,0.0,0.143,,,4.1,4,1,0,0
Easton McGee,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.333,,,1.0,1,0,0,0
Mason Miller,0.0,,,0.24,21.6,1.08,0.0,0.741,0.037,0.038,,,8.1,8,0,1,0
Dylan Moore,0.0,,,1.5,0.0,0.0,0.0,0.0,0.0,0.333,,,0.2,1,0,0,0
David Morgan,0.0,,,1.16,8.71,6.1,0.0,0.238,0.167,0.152,,,10.1,7,0,2,0
Eli Morgan,0.0,,,0.8,10.8,3.6,0.0,0.3,0.1,0.111,,,5.0,2,0,0,0
Riley O'Brien,0.0,,,0.39,9.58,0.0,0.0,0.314,0.0,0.118,,,10.1,10,0,2,0
Shohei Ohtani,0.0,,,0.75,6.0,3.0,0.0,0.17,0.085,0.119,,,12.0,2,2,1,0
Daniel Palencia,0.0,,,1.0,9.0,3.6,0.0,0.263,0.105,0.176,,,5.0,5,0,1,0
Mitchell Parker,0.0,,,1.0,22.5,0.0,0.0,0.5,0.0,0.2,,,2.0,1,0,1,0
Orlando Ribalta,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Ethan Roberts,0.0,,,0.38,6.75,0.0,0.0,0.2,0.0,0.125,,,2.2,3,0,0,0
Tyler Rogers,0.0,,,1.04,5.19,3.12,0.0,0.147,0.088,0.2,,,8.2,8,0,1,0
