Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Cody Bellinger,0.307,0.356,0.525,0.881,,,556,95,26,97,20,,0.319,0.072,0.156,0.218
Mookie Betts,0.307,0.408,0.579,0.987,,,693,126,39,107,14,,0.316,0.139,0.154,0.272
Bo Bichette,0.306,0.339,0.475,0.814,,,601,69,20,73,5,,0.355,0.045,0.191,0.169
Evan Carter,0.306,0.413,0.645,1.058,,,75,15,5,12,3,,0.412,0.16,0.32,0.339
Shohei Ohtani,0.304,0.412,0.654,1.066,,,599,102,44,95,20,,0.342,0.152,0.239,0.35
Johan Rojas,0.302,0.342,0.43,0.772,,,164,24,2,23,14,,0.41,0.03,0.256,0.128
Dominic Fletcher,0.301,0.35,0.441,0.791,,,102,10,2,14,0,,0.377,0.069,0.216,0.14
Victor Robles,0.299,0.385,0.364,0.749,,,126,15,0,8,8,,0.36,0.087,0.143,0.065
Gio Urshela,0.299,0.329,0.374,0.703,,,228,22,2,24,3,,0.346,0.044,0.158,0.075
Jared Triolo,0.298,0.388,0.398,0.786,,,209,30,3,21,6,,0.44,0.115,0.301,0.1
Iván Herrera,0.297,0.409,0.351,0.76,,,44,6,0,4,0,,0.423,0.114,0.25,0.054
Nolan Jones,0.297,0.389,0.542,0.931,,,424,60,20,62,20,,0.401,0.125,0.297,0.245
Jarren Duran,0.295,0.346,0.482,0.828,,,362,46,8,40,24,,0.381,0.066,0.249,0.187
Xavier Edwards,0.295,0.329,0.333,0.662,,,84,12,0,3,5,,0.359,0.036,0.167,0.038
Alexander Canario,0.294,0.294,0.647,0.941,,,17,1,1,6,0,,0.5,0.0,0.471,0.353
Jon Berti,0.294,0.344,0.405,0.749,,,424,53,7,33,16,,0.349,0.068,0.182,0.111
Bryce Harper,0.293,0.401,0.499,0.9,,,546,84,21,72,11,,0.352,0.147,0.218,0.206
Michael Harris II,0.293,0.331,0.477,0.808,,,539,76,18,57,20,,0.334,0.046,0.187,0.184
Yordan Alvarez,0.293,0.407,0.583,0.99,,,496,77,31,97,0,,0.306,0.139,0.185,0.29
Josh Lowe,0.292,0.335,0.5,0.835,,,501,71,20,83,32,,0.357,0.062,0.248,0.208
Matt McLain,0.29,0.357,0.507,0.864,,,403,65,16,50,14,,0.385,0.077,0.285,0.217
Óscar Mercado,0.29,0.313,0.387,0.7,,,32,3,0,5,2,,0.333,0.031,0.125,0.097
Michael Stefanic,0.29,0.38,0.355,0.735,,,71,5,0,6,0,,0.333,0.113,0.113,0.065
Tom Murphy,0.29,0.335,0.538,0.873,,,159,19,8,17,0,,0.358,0.063,0.277,0.248
Ryan O'Hearn,0.289,0.322,0.48,0.802,,,368,48,14,60,5,,0.34,0.041,0.223,0.191
William Contreras,0.289,0.367,0.457,0.824,,,611,86,17,78,6,,0.348,0.103,0.206,0.168
Masataka Yoshida,0.289,0.338,0.445,0.783,,,580,71,15,72,8,,0.316,0.059,0.14,0.156
Riley Greene,0.288,0.349,0.447,0.796,,,416,51,11,37,7,,0.384,0.084,0.274,0.159
Pablo Reyes,0.287,0.339,0.377,0.716,,,185,27,2,20,7,,0.315,0.076,0.114,0.09
Andre Lipcius,0.286,0.342,0.4,0.742,,,38,3,1,4,0,,0.346,0.079,0.211,0.114
Drew Millas,0.286,0.375,0.464,0.839,,,33,1,1,6,0,,0.318,0.121,0.152,0.178
Seiya Suzuki,0.285,0.357,0.485,0.842,,,583,75,20,74,6,,0.341,0.101,0.223,0.2
Xander Bogaerts,0.285,0.35,0.44,0.79,,,665,83,19,58,19,,0.319,0.084,0.165,0.155
Corbin Carroll,0.285,0.362,0.506,0.868,,,645,116,25,76,54,,0.325,0.088,0.194,0.221
Gabriel Moreno,0.284,0.339,0.408,0.747,,,380,33,7,50,6,,0.338,0.076,0.197,0.124
Brendan Donovan,0.284,0.365,0.422,0.787,,,371,48,11,34,5,,0.311,0.089,0.143,0.138
Kyle Tucker,0.284,0.369,0.517,0.886,,,674,97,29,112,30,,0.289,0.119,0.136,0.233
Wilmer Flores,0.284,0.355,0.509,0.864,,,454,51,23,60,0,,0.286,0.09,0.139,0.225
Matt Olson,0.283,0.389,0.604,0.993,,,720,127,54,139,1,,0.302,0.144,0.232,0.321
Nico Hoerner,0.283,0.346,0.383,0.729,,,688,98,9,68,43,,0.312,0.071,0.121,0.1
Donovan Solano,0.282,0.369,0.391,0.76,,,450,43,5,38,0,,0.366,0.089,0.222,0.109
Yainer Diaz,0.282,0.308,0.538,0.846,,,377,51,23,60,0,,0.292,0.029,0.196,0.256
José Ramírez,0.282,0.356,0.475,0.831,,,691,87,24,80,28,,0.285,0.106,0.106,0.193
Austin Riley,0.281,0.345,0.516,0.861,,,715,117,37,97,3,,0.324,0.083,0.241,0.235
Freddy Fermin,0.281,0.321,0.461,0.782,,,235,26,9,32,0,,0.323,0.055,0.213,0.18
Wander Franco,0.281,0.344,0.475,0.819,,,491,65,17,58,30,,0.297,0.086,0.141,0.194
Bryson Stott,0.28,0.329,0.419,0.748,,,640,78,15,62,31,,0.312,0.061,0.156,0.139
Ozzie Albies,0.28,0.336,0.513,0.849,,,660,96,33,109,13,,0.289,0.07,0.162,0.233
Vaughn Grissom,0.28,0.313,0.347,0.66,,,80,5,0,9,0,,0.344,0.025,0.188,0.067
Mickey Moniak,0.28,0.307,0.495,0.802,,,323,35,14,45,6,,0.397,0.028,0.35,0.215
TJ Friedl,0.279,0.352,0.467,0.819,,,556,73,18,66,27,,0.308,0.085,0.162,0.188
Charlie Blackmon,0.279,0.363,0.44,0.803,,,413,57,8,40,4,,0.307,0.094,0.133,0.161
Mauricio Dubón,0.278,0.309,0.411,0.72,,,492,76,10,46,7,,0.308,0.039,0.142,0.133
Christian Yelich,0.278,0.37,0.447,0.817,,,632,106,19,76,28,,0.342,0.123,0.222,0.169
Michael Brantley,0.278,0.298,0.426,0.724,,,57,7,2,7,0,,0.255,0.035,0.035,0.148
Kerry Carpenter,0.278,0.34,0.471,0.811,,,459,57,20,64,6,,0.338,0.07,0.251,0.193
Brandon Marsh,0.277,0.372,0.458,0.83,,,472,58,12,60,10,,0.397,0.125,0.305,0.181
Adley Rutschman,0.277,0.374,0.435,0.809,,,687,84,20,80,1,,0.303,0.134,0.147,0.158
Ryan Jeffers,0.276,0.369,0.49,0.859,,,335,46,14,43,3,,0.359,0.099,0.278,0.214
Jordan Walker,0.276,0.342,0.445,0.787,,,465,51,16,51,7,,0.331,0.08,0.224,0.169
Bobby Witt Jr.,0.276,0.319,0.495,0.814,,,694,97,30,96,49,,0.295,0.058,0.174,0.219
Marcus Semien,0.276,0.348,0.478,0.826,,,753,122,29,100,14,,0.291,0.096,0.146,0.202
Garrett Hampson,0.276,0.349,0.38,0.729,,,252,30,3,23,5,,0.379,0.091,0.266,0.104
Justin Turner,0.276,0.345,0.455,0.8,,,626,86,23,96,4,,0.304,0.081,0.176,0.179
Ketel Marte,0.276,0.358,0.485,0.843,,,650,94,25,82,8,,0.3,0.109,0.168,0.209
Ezequiel Duran,0.276,0.324,0.443,0.767,,,439,55,14,46,8,,0.358,0.052,0.273,0.167
Davis Schneider,0.276,0.404,0.603,1.007,,,141,23,8,20,1,,0.369,0.149,0.305,0.327
Will Benson,0.275,0.365,0.498,0.863,,,329,51,11,31,19,,0.391,0.122,0.313,0.223
Julio Rodríguez,0.275,0.333,0.485,0.818,,,714,102,32,103,37,,0.33,0.066,0.245,0.21
Nolan Schanuel,0.275,0.402,0.33,0.732,,,132,19,1,6,0,,0.326,0.152,0.144,0.055
Austin Hays,0.275,0.325,0.444,0.769,,,566,76,16,67,5,,0.345,0.067,0.249,0.169
Joey Meneses,0.275,0.321,0.401,0.722,,,657,71,13,89,0,,0.329,0.058,0.198,0.126
Juan Soto,0.275,0.41,0.519,0.929,,,708,97,35,109,12,,0.296,0.186,0.182,0.244
Alec Bohm,0.274,0.327,0.437,0.764,,,611,74,20,97,4,,0.296,0.069,0.154,0.163
Brandon Nimmo,0.274,0.363,0.466,0.829,,,682,89,24,68,3,,0.324,0.109,0.214,0.192
Marcell Ozuna,0.274,0.346,0.558,0.904,,,592,84,40,100,0,,0.293,0.096,0.226,0.284
Gleyber Torres,0.273,0.347,0.453,0.8,,,672,90,25,68,13,,0.288,0.1,0.146,0.18
Chas McCormick,0.273,0.353,0.489,0.842,,,457,59,22,70,19,,0.331,0.088,0.256,0.216
Riley Adams,0.273,0.331,0.476,0.807,,,158,8,4,21,0,,0.368,0.07,0.285,0.203
Whit Merrifield,0.272,0.318,0.382,0.7,,,592,66,11,67,26,,0.313,0.061,0.171,0.11
Eloy Jiménez,0.272,0.317,0.441,0.758,,,489,50,18,64,0,,0.305,0.061,0.19,0.169
Nick Castellanos,0.272,0.311,0.476,0.787,,,671,79,29,106,11,,0.337,0.054,0.276,0.204
Maikel Garcia,0.272,0.323,0.358,0.681,,,515,59,4,50,23,,0.344,0.074,0.223,0.086
Spencer Steer,0.271,0.356,0.464,0.82,,,665,74,23,86,15,,0.318,0.102,0.209,0.193
Ke'Bryan Hayes,0.271,0.309,0.453,0.762,,,525,65,15,61,10,,0.315,0.053,0.198,0.182
J.D. Martinez,0.271,0.321,0.572,0.893,,,479,61,33,103,1,,0.324,0.071,0.311,0.301
Thairo Estrada,0.271,0.315,0.416,0.731,,,530,63,14,49,23,,0.331,0.042,0.226,0.145
Rafael Devers,0.271,0.351,0.5,0.851,,,656,90,33,100,5,,0.292,0.095,0.192,0.229
Alex Kirilloff,0.27,0.348,0.445,0.793,,,319,35,11,41,1,,0.337,0.088,0.251,0.175
Yonathan Daza,0.27,0.304,0.351,0.655,,,80,8,0,7,1,,0.323,0.037,0.163,0.081
Christian Encarnacion-Strand,0.27,0.328,0.477,0.805,,,241,29,13,37,2,,0.336,0.058,0.286,0.207
Mitch Garver,0.27,0.37,0.5,0.87,,,344,45,19,50,0,,0.313,0.128,0.238,0.23
Austin Slater,0.27,0.348,0.4,0.748,,,207,24,5,20,2,,0.369,0.097,0.28,0.13
Jeff McNeil,0.27,0.333,0.378,0.711,,,648,75,10,55,10,,0.288,0.06,0.1,0.108
Ryan Mountcastle,0.27,0.328,0.452,0.78,,,470,64,18,68,3,,0.315,0.079,0.228,0.182
Jason Heyward,0.269,0.34,0.473,0.813,,,377,56,15,40,2,,0.291,0.09,0.17,0.204
Stone Garrett,0.269,0.343,0.457,0.8,,,271,40,9,40,3,,0.365,0.096,0.303,0.188
Dane Myers,0.269,0.286,0.358,0.644,,,70,9,1,9,1,,0.354,0.029,0.271,0.089
Paul Goldschmidt,0.268,0.363,0.447,0.81,,,687,89,25,80,11,,0.327,0.127,0.234,0.179
Steven Kwan,0.268,0.34,0.37,0.71,,,718,93,5,54,21,,0.294,0.097,0.104,0.102
Lane Thomas,0.268,0.315,0.468,0.783,,,682,101,28,86,20,,0.325,0.053,0.258,0.2
Elias Díaz,0.267,0.316,0.409,0.725,,,526,48,14,72,1,,0.324,0.065,0.224,0.142
Reese McGuire,0.267,0.31,0.358,0.668,,,206,15,1,16,2,,0.366,0.053,0.257,0.091
Randal Grichuk,0.267,0.321,0.459,0.78,,,471,65,16,44,2,,0.309,0.062,0.204,0.192
Aaron Judge,0.267,0.406,0.613,1.019,,,458,79,37,75,3,,0.3,0.192,0.284,0.346
Yan Gomes,0.267,0.315,0.408,0.723,,,419,44,10,63,1,,0.309,0.05,0.193,0.141
Zack Gelof,0.267,0.337,0.504,0.841,,,300,40,14,32,14,,0.331,0.087,0.273,0.237
Luis García Jr.,0.266,0.304,0.385,0.689,,,482,61,9,50,9,,0.286,0.056,0.124,0.119
Will Brennan,0.266,0.299,0.356,0.655,,,455,41,5,41,13,,0.296,0.035,0.125,0.09
Enmanuel Valdez,0.266,0.311,0.453,0.764,,,149,17,6,19,5,,0.323,0.054,0.248,0.187
Leody Taveras,0.266,0.312,0.421,0.733,,,554,67,14,67,14,,0.318,0.063,0.211,0.155
Nolan Arenado,0.266,0.315,0.459,0.774,,,612,71,26,93,3,,0.279,0.067,0.165,0.193
Trea Turner,0.266,0.32,0.459,0.779,,,691,102,26,76,30,,0.31,0.065,0.217,0.193
J.P. Crawford,0.266,0.38,0.438,0.818,,,638,94,19,65,2,,0.314,0.147,0.196,0.172
Josh Jung,0.266,0.315,0.467,0.782,,,515,75,23,70,1,,0.34,0.058,0.293,0.201
Kevin Kiermaier,0.265,0.322,0.419,0.741,,,408,58,8,36,14,,0.321,0.071,0.211,0.154
Orlando Arcia,0.264,0.321,0.42,0.741,,,533,66,17,65,1,,0.301,0.073,0.191,0.156
Vladimir Guerrero Jr.,0.264,0.345,0.444,0.789,,,682,78,26,94,5,,0.277,0.098,0.147,0.18
Andy Ibáñez,0.264,0.312,0.433,0.745,,,383,42,11,41,1,,0.3,0.063,0.18,0.169
Willson Contreras,0.264,0.358,0.467,0.825,,,495,55,20,67,6,,0.311,0.103,0.224,0.203
Luis Rengifo,0.264,0.339,0.444,0.783,,,445,55,16,51,6,,0.293,0.092,0.184,0.18
Nick Martini,0.264,0.329,0.583,0.912,,,79,10,6,16,0,,0.255,0.063,0.19,0.319
Ramón Urías,0.264,0.328,0.375,0.703,,,396,45,4,42,3,,0.355,0.068,0.255,0.111
Luis Robert Jr.,0.264,0.315,0.542,0.857,,,595,90,38,80,20,,0.314,0.05,0.289,0.278
Alex Verdugo,0.264,0.324,0.421,0.745,,,602,81,13,54,5,,0.294,0.075,0.154,0.157
Manuel Margot,0.264,0.31,0.376,0.686,,,336,39,4,38,9,,0.306,0.054,0.164,0.112
Jeremy Peña,0.263,0.324,0.381,0.705,,,634,81,10,52,13,,0.323,0.068,0.203,0.118
Triston Casas,0.263,0.367,0.49,0.857,,,502,66,24,65,0,,0.317,0.139,0.251,0.227
Edouard Julien,0.263,0.381,0.459,0.84,,,408,60,16,37,3,,0.371,0.157,0.314,0.196
Travis Jankowski,0.263,0.357,0.332,0.689,,,287,34,1,30,19,,0.311,0.122,0.146,0.069
Bryan Reynolds,0.263,0.33,0.46,0.79,,,640,85,24,84,12,,0.304,0.083,0.216,0.197
Mike Trout,0.263,0.367,0.49,0.857,,,362,54,18,44,2,,0.335,0.124,0.287,0.227
Nick Madrigal,0.263,0.311,0.352,0.663,,,294,34,2,28,10,,0.283,0.034,0.082,0.089
Amed Rosario,0.263,0.305,0.378,0.683,,,545,70,6,58,15,,0.314,0.053,0.182,0.115
Edward Olivares,0.263,0.317,0.452,0.769,,,385,47,12,36,11,,0.289,0.057,0.166,0.189
Mark Canha,0.262,0.355,0.4,0.755,,,507,51,11,62,11,,0.293,0.097,0.156,0.138
Alex Bregman,0.262,0.363,0.441,0.804,,,724,103,25,98,3,,0.27,0.127,0.12,0.179
Jonny DeLuca,0.262,0.311,0.429,0.74,,,45,5,2,6,1,,0.281,0.067,0.178,0.167
Brandon Drury,0.262,0.306,0.497,0.803,,,523,61,26,83,0,,0.308,0.048,0.26,0.235
Nathaniel Lowe,0.262,0.36,0.414,0.774,,,724,89,17,82,1,,0.329,0.128,0.228,0.152
Andrew Benintendi,0.262,0.326,0.356,0.682,,,621,72,5,45,13,,0.301,0.084,0.143,0.094
Lourdes Gurriel Jr.,0.261,0.309,0.463,0.772,,,592,65,24,82,5,,0.282,0.056,0.174,0.202
Owen Miller,0.261,0.303,0.371,0.674,,,314,29,5,27,13,,0.31,0.054,0.194,0.11
Matt Vierling,0.261,0.329,0.388,0.717,,,530,63,10,44,6,,0.321,0.083,0.211,0.127
Will Smith,0.261,0.359,0.438,0.797,,,554,80,19,76,3,,0.277,0.114,0.161,0.177
Emmanuel Rivera,0.261,0.314,0.358,0.672,,,283,32,4,29,1,,0.313,0.078,0.198,0.097
Lars Nootbaar,0.261,0.367,0.418,0.785,,,503,74,14,46,11,,0.307,0.143,0.197,0.157
Yoán Moncada,0.26,0.305,0.425,0.73,,,357,39,11,40,1,,0.35,0.056,0.3,0.165
Conner Capel,0.26,0.372,0.329,0.701,,,86,6,0,3,5,,0.396,0.14,0.291,0.069
Max Kepler,0.26,0.332,0.484,0.816,,,491,72,24,66,1,,0.288,0.092,0.216,0.224
Ha-Seong Kim,0.26,0.351,0.398,0.749,,,626,84,17,60,38,,0.306,0.12,0.198,0.138
Keibert Ruiz,0.26,0.308,0.409,0.717,,,562,55,18,67,1,,0.263,0.055,0.103,0.149
Jordan Westburg,0.26,0.311,0.404,0.715,,,228,26,3,23,4,,0.336,0.07,0.246,0.144
David Peralta,0.259,0.294,0.381,0.675,,,422,47,7,55,4,,0.296,0.047,0.171,0.122
Andruw Monasterio,0.259,0.33,0.348,0.678,,,315,38,3,27,7,,0.326,0.089,0.21,0.089
Victor Caratini,0.259,0.327,0.383,0.71,,,226,23,7,25,1,,0.296,0.084,0.199,0.124
Brendan Rodgers,0.258,0.313,0.388,0.701,,,192,21,4,20,0,,0.316,0.057,0.214,0.13
Matthew Batten,0.258,0.355,0.358,0.713,,,139,19,2,11,2,,0.33,0.122,0.216,0.1
Jonah Heim,0.258,0.317,0.438,0.755,,,501,61,18,95,2,,0.289,0.08,0.192,0.18
Dairon Blanco,0.258,0.324,0.452,0.776,,,138,19,3,18,24,,0.33,0.072,0.239,0.194
Jasson Domínguez,0.258,0.303,0.677,0.98,,,33,6,4,7,1,,0.211,0.061,0.242,0.419
Richie Palacios,0.258,0.307,0.516,0.823,,,102,9,6,16,2,,0.234,0.059,0.108,0.258
Andrew Vaughn,0.258,0.314,0.429,0.743,,,615,67,21,80,0,,0.299,0.059,0.21,0.171
Manny Machado,0.258,0.319,0.462,0.781,,,601,75,30,91,3,,0.268,0.083,0.181,0.204
George Springer,0.258,0.327,0.405,0.732,,,683,87,21,72,20,,0.291,0.088,0.183,0.147
Christian Walker,0.258,0.333,0.497,0.83,,,661,86,33,103,11,,0.272,0.094,0.192,0.239
Teoscar Hernández,0.258,0.305,0.435,0.74,,,678,70,26,93,7,,0.342,0.056,0.311,0.177
Miguel Cabrera,0.257,0.322,0.353,0.675,,,370,21,4,34,0,,0.317,0.084,0.2,0.096
Fernando Tatis Jr.,0.257,0.322,0.449,0.771,,,635,91,25,78,29,,0.299,0.083,0.222,0.192
Bryan De La Cruz,0.257,0.304,0.411,0.715,,,626,60,19,78,4,,0.307,0.064,0.227,0.154
Anthony Santander,0.257,0.325,0.472,0.797,,,656,81,28,95,5,,0.299,0.084,0.232,0.215
Willi Castro,0.257,0.339,0.411,0.75,,,409,60,9,34,33,,0.328,0.083,0.242,0.154
Spencer Horwitz,0.256,0.341,0.385,0.726,,,44,5,1,7,0,,0.346,0.091,0.273,0.129
Andrew McCutchen,0.256,0.378,0.397,0.775,,,473,55,12,43,11,,0.312,0.159,0.211,0.141
LaMonte Wade Jr.,0.256,0.373,0.417,0.79,,,519,64,17,45,2,,0.29,0.146,0.183,0.161
Kyle Farmer,0.256,0.317,0.408,0.725,,,369,49,11,46,2,,0.311,0.062,0.233,0.152
Jake Fraley,0.256,0.339,0.443,0.782,,,380,41,15,65,21,,0.283,0.097,0.187,0.187
Tommy Pham,0.256,0.328,0.446,0.774,,,481,55,16,68,22,,0.3,0.098,0.22,0.19
Sam Huff,0.256,0.289,0.512,0.801,,,45,5,3,6,0,,0.348,0.044,0.378,0.256
Gunnar Henderson,0.255,0.325,0.489,0.814,,,622,100,28,82,10,,0.306,0.09,0.256,0.234
Eddie Rosario,0.255,0.305,0.45,0.755,,,516,64,21,74,3,,0.3,0.066,0.236,0.195
Jorge Polanco,0.255,0.335,0.454,0.789,,,343,38,14,48,4,,0.31,0.105,0.257,0.199
Tyler Wade,0.255,0.309,0.314,0.623,,,55,8,0,2,4,,0.342,0.073,0.236,0.059
Salvador Perez,0.255,0.292,0.422,0.714,,,580,59,23,80,0,,0.294,0.033,0.233,0.167
Dominic Smith,0.254,0.326,0.366,0.692,,,586,57,12,46,1,,0.286,0.08,0.155,0.112
Francisco Lindor,0.254,0.336,0.47,0.806,,,687,108,31,98,31,,0.277,0.096,0.199,0.216
Ryan McKenna,0.254,0.316,0.361,0.677,,,139,23,2,18,5,,0.354,0.065,0.288,0.107
Randy Arozarena,0.254,0.364,0.425,0.789,,,654,95,23,83,22,,0.31,0.122,0.239,0.171
Esteury Ruiz,0.254,0.309,0.345,0.654,,,497,47,5,47,67,,0.315,0.04,0.199,0.091
Brandon Belt,0.254,0.369,0.49,0.859,,,404,53,19,43,0,,0.37,0.151,0.349,0.236
Kevin Newman,0.253,0.311,0.364,0.675,,,253,28,3,28,8,,0.28,0.067,0.134,0.111
Curtis Mead,0.253,0.326,0.349,0.675,,,92,12,1,5,0,,0.328,0.076,0.228,0.096
Ezequiel Tovar,0.253,0.287,0.408,0.695,,,615,79,15,73,11,,0.328,0.041,0.27,0.155
Taylor Ward,0.253,0.335,0.421,0.756,,,409,60,14,47,4,,0.284,0.095,0.196,0.168
Aaron Hicks,0.253,0.353,0.383,0.736,,,312,44,8,36,6,,0.311,0.135,0.221,0.13
Jesús Sánchez,0.253,0.327,0.45,0.777,,,402,43,14,52,3,,0.321,0.095,0.266,0.197
Sam Haggerty,0.253,0.364,0.341,0.705,,,108,13,1,5,10,,0.301,0.139,0.157,0.088
Jarred Kelenic,0.253,0.327,0.419,0.746,,,416,44,11,49,13,,0.359,0.099,0.317,0.166
René Pinto,0.252,0.267,0.456,0.723,,,105,10,6,16,0,,0.317,0.019,0.324,0.204
Jacob Young,0.252,0.322,0.336,0.658,,,121,9,0,12,13,,0.318,0.083,0.182,0.084
Mike Tauchman,0.252,0.363,0.377,0.74,,,401,64,8,48,7,,0.313,0.14,0.214,0.125
Harold Castro,0.252,0.275,0.314,0.589,,,270,24,1,31,1,,0.332,0.033,0.244,0.062
Ildemaro Vargas,0.252,0.304,0.363,0.667,,,286,32,4,31,1,,0.259,0.066,0.07,0.111
Zach Remillard,0.252,0.295,0.32,0.615,,,160,16,1,18,4,,0.367,0.05,0.3,0.068
J.T. Realmuto,0.252,0.31,0.452,0.762,,,540,70,20,63,16,,0.307,0.065,0.256,0.2
Jason Delay,0.251,0.319,0.347,0.666,,,187,20,1,18,0,,0.333,0.075,0.235,0.096
Jeimer Candelario,0.251,0.336,0.471,0.807,,,576,77,22,70,8,,0.292,0.092,0.22,0.22
Sean Murphy,0.251,0.365,0.478,0.843,,,438,65,21,68,0,,0.286,0.112,0.224,0.227
Andrés Giménez,0.251,0.314,0.399,0.713,,,616,76,15,62,30,,0.289,0.052,0.182,0.148
Elvis Andrus,0.251,0.304,0.358,0.662,,,406,39,6,44,12,,0.294,0.062,0.175,0.107
Matt Duffy,0.251,0.306,0.325,0.631,,,209,17,2,16,1,,0.303,0.057,0.187,0.074
Garrett Cooper,0.251,0.304,0.419,0.723,,,457,42,17,61,0,,0.324,0.068,0.289,0.168
Edmundo Sosa,0.251,0.293,0.427,0.72,,,300,34,10,30,4,,0.306,0.027,0.247,0.176
Ty France,0.25,0.337,0.366,0.703,,,665,79,12,58,1,,0.294,0.065,0.176,0.116
Miguel Andujar,0.25,0.3,0.476,0.776,,,90,9,4,18,2,,0.254,0.067,0.144,0.226
Jake Burger,0.25,0.309,0.518,0.827,,,540,71,34,80,1,,0.284,0.059,0.276,0.268
Jazz Chisholm Jr.,0.25,0.304,0.457,0.761,,,383,50,19,51,22,,0.318,0.068,0.308,0.207
Oneil Cruz,0.25,0.375,0.375,0.75,,,40,7,1,4,3,,0.292,0.175,0.2,0.125
Corey Dickerson,0.25,0.283,0.354,0.637,,,152,12,2,17,0,,0.296,0.046,0.184,0.104
Alejandro Kirk,0.25,0.334,0.358,0.692,,,422,34,8,43,0,,0.265,0.1,0.107,0.108
Luis Matos,0.25,0.319,0.342,0.661,,,253,24,2,14,3,,0.285,0.079,0.13,0.092
Isaac Paredes,0.25,0.352,0.488,0.84,,,571,71,31,98,1,,0.257,0.102,0.182,0.238
Manny Piña,0.25,0.25,0.5,0.75,,,12,1,1,1,0,,0.25,0.0,0.25,0.25
Eguy Rosario,0.25,0.27,0.5,0.77,,,37,6,2,6,0,,0.318,0.027,0.324,0.25
Jorge Soler,0.25,0.341,0.512,0.853,,,580,77,36,75,1,,0.272,0.114,0.243,0.262
Luis Torrens,0.25,0.3,0.357,0.657,,,30,1,0,4,0,,0.368,0.033,0.3,0.107
Luke Raley,0.249,0.333,0.49,0.823,,,406,56,19,49,14,,0.33,0.069,0.315,0.241
Matt Wallner,0.249,0.37,0.507,0.877,,,254,42,14,41,2,,0.328,0.11,0.315,0.258
James Outman,0.248,0.353,0.437,0.79,,,567,86,23,70,16,,0.343,0.12,0.319,0.189
Tommy Edman,0.248,0.307,0.399,0.706,,,528,69,13,47,27,,0.275,0.066,0.159,0.151
Ian Happ,0.248,0.36,0.431,0.791,,,691,86,21,84,14,,0.299,0.143,0.221,0.183
C.J. Cron,0.248,0.295,0.434,0.729,,,278,38,12,37,0,,0.284,0.061,0.234,0.186
