Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Charlie Culberson,1.0,1.0,1.0,2.0,,,1,0,0,0,0,,1.0,0.0,0.0,0.0
Zack Collins,0.5,0.667,0.5,1.167,,,6,0,0,0,0,,1.0,0.333,0.333,0.0
Alejo Lopez,0.5,0.5,1.0,1.5,,,2,1,0,1,0,,1.0,0.0,0.5,0.5
Michael Pérez,0.5,0.5,0.625,1.125,,,8,1,0,0,0,,0.571,0.0,0.125,0.125
Cole Tucker,0.5,0.6,0.5,1.1,,,10,2,0,2,0,,0.667,0.1,0.2,0.0
Forrest Wall,0.462,0.533,0.846,1.379,,,15,6,1,2,5,,0.625,0.133,0.267,0.384
Abraham Toro,0.444,0.524,0.778,1.302,,,21,4,2,9,0,,0.545,0.095,0.238,0.334
Jeter Downs,0.4,0.667,0.4,1.067,,,9,4,0,1,2,,0.5,0.444,0.111,0.0
Tristan Gray,0.4,0.4,1.0,1.4,,,5,1,1,1,0,,0.25,0.0,0.0,0.6
Ernie Clement,0.38,0.385,0.5,0.885,,,52,7,1,10,1,,0.391,0.019,0.077,0.12
Luis Arraez,0.354,0.393,0.469,0.862,,,617,71,10,69,3,,0.362,0.057,0.055,0.115
Ronald Acuña Jr.,0.337,0.416,0.596,1.012,,,735,149,41,106,73,,0.338,0.109,0.114,0.259
Drew Maggi,0.333,0.333,0.5,0.833,,,6,1,0,1,0,,0.4,0.0,0.167,0.167
Freddie Freeman,0.331,0.41,0.567,0.977,,,730,131,29,102,23,,0.37,0.099,0.166,0.236
Yandy Díaz,0.33,0.41,0.522,0.932,,,600,95,22,78,0,,0.367,0.108,0.157,0.192
Corey Seager,0.327,0.39,0.623,1.013,,,536,88,33,96,2,,0.34,0.091,0.164,0.296
Nick Loftin,0.323,0.368,0.435,0.803,,,68,10,0,10,2,,0.392,0.059,0.176,0.112
Luis Campusano,0.319,0.356,0.491,0.847,,,174,27,7,30,0,,0.331,0.04,0.121,0.172
Wilyer Abreu,0.316,0.388,0.474,0.862,,,85,10,2,14,3,,0.431,0.106,0.271,0.158
Sean Bouchard,0.316,0.372,0.684,1.056,,,43,11,4,7,0,,0.381,0.093,0.326,0.368
Noelvi Marte,0.316,0.366,0.456,0.822,,,123,15,3,15,6,,0.384,0.065,0.203,0.14
Harold Ramírez,0.313,0.353,0.46,0.813,,,434,58,12,68,5,,0.359,0.051,0.182,0.147
Weston Wilson,0.313,0.5,0.5,1.0,,,22,5,1,2,3,,0.4,0.273,0.227,0.187
Jose Altuve,0.311,0.393,0.522,0.915,,,410,76,17,51,14,,0.348,0.107,0.173,0.211
Royce Lewis,0.309,0.372,0.548,0.92,,,239,36,15,52,6,,0.354,0.084,0.23,0.239
Josh Naylor,0.308,0.354,0.489,0.843,,,495,52,17,97,10,,0.326,0.067,0.137,0.181
