Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Stone Garrett,0.6,0.667,1.4,2.067,,,6,2,1,3,0,,0.5,0.167,0.0,0.8
Darren Baker,0.5,0.5,0.643,1.143,,,14,1,0,0,0,,0.636,0.0,0.214,0.143
Samad Taylor,0.4,0.4,0.4,0.8,,,5,2,0,0,0,,0.5,0.0,0.2,0.0
Austin Wynns,0.368,0.4,0.579,0.979,,,20,3,0,2,0,,0.5,0.0,0.25,0.211
Alex Call,0.343,0.425,0.525,0.95,,,113,15,3,14,5,,0.403,0.106,0.168,0.182
Jose Iglesias,0.337,0.381,0.448,0.829,,,291,39,4,26,6,,0.382,0.041,0.134,0.111
Matthew Batten,0.333,0.333,1.0,1.333,,,3,0,0,0,0,,0.333,0.0,0.0,0.667
Diego Castillo,0.333,0.5,0.5,1.0,,,8,3,0,2,0,,0.4,0.25,0.125,0.167
Hunter Feduccia,0.333,0.429,0.333,0.762,,,14,2,0,1,0,,0.4,0.143,0.143,0.0
Dustin Harris,0.333,0.429,1.0,1.429,,,7,1,1,3,0,,0.333,0.143,0.286,0.667
Orelvis Martinez,0.333,0.333,0.333,0.666,,,3,0,0,0,0,,0.5,0.0,0.333,0.0
Bobby Witt Jr.,0.332,0.389,0.588,0.977,,,709,125,32,109,31,,0.354,0.08,0.15,0.256
Xavier Edwards,0.328,0.397,0.423,0.82,,,303,39,1,26,31,,0.398,0.109,0.172,0.095
Vladimir Guerrero Jr.,0.323,0.396,0.544,0.94,,,697,98,30,103,2,,0.342,0.103,0.138,0.221
Aaron Judge,0.322,0.458,0.701,1.159,,,704,122,58,144,10,,0.367,0.189,0.243,0.379
César Salazar,0.32,0.387,0.4,0.787,,,32,5,0,8,0,,0.381,0.062,0.188,0.08
Christian Yelich,0.315,0.406,0.504,0.91,,,315,44,11,42,21,,0.366,0.127,0.184,0.189
Luis Arraez,0.314,0.346,0.392,0.738,,,672,83,4,46,9,,0.324,0.036,0.043,0.078
