Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Adrian Del Castillo,0.313,0.368,0.525,0.893,,,87,12,4,19,1,,0.438,0.08,0.322,0.212
Blake Sabol,0.313,0.421,0.375,0.796,,,38,3,0,1,0,,0.435,0.132,0.237,0.062
Carlos Correa,0.31,0.388,0.517,0.905,,,367,55,14,54,0,,0.343,0.109,0.166,0.207
Shohei Ohtani,0.31,0.39,0.646,1.036,,,731,134,54,130,59,,0.336,0.111,0.222,0.336
Yordan Alvarez,0.308,0.392,0.567,0.959,,,635,88,35,86,6,,0.317,0.109,0.15,0.259
Luisangel Acuña,0.308,0.325,0.641,0.966,,,40,6,3,6,0,,0.3,0.025,0.15,0.333
Victor Robles,0.307,0.381,0.433,0.814,,,295,44,4,28,34,,0.37,0.071,0.18,0.126
Will Wagner,0.305,0.337,0.451,0.788,,,86,8,2,11,0,,0.359,0.047,0.186,0.146
David Bote,0.304,0.333,0.391,0.724,,,48,4,0,6,0,,0.424,0.042,0.271,0.087
Nathan Lukes,0.303,0.371,0.447,0.818,,,91,13,1,10,1,,0.319,0.11,0.099,0.144
Marcell Ozuna,0.302,0.378,0.546,0.924,,,688,96,39,104,1,,0.359,0.108,0.247,0.244
Iván Herrera,0.301,0.372,0.428,0.8,,,259,37,5,27,5,,0.37,0.097,0.205,0.127
Luis Rengifo,0.3,0.347,0.417,0.764,,,304,41,6,30,24,,0.339,0.053,0.145,0.117
Michael Helman,0.3,0.3,0.5,0.8,,,10,2,0,0,0,,0.429,0.0,0.3,0.2
Yainer Diaz,0.299,0.325,0.441,0.766,,,619,70,16,84,2,,0.338,0.039,0.173,0.142
Trea Turner,0.295,0.338,0.469,0.807,,,539,88,21,62,19,,0.331,0.05,0.182,0.174
Jose Altuve,0.295,0.35,0.439,0.789,,,682,94,20,65,22,,0.337,0.069,0.174,0.144
Rafael Marchán,0.294,0.345,0.549,0.894,,,56,8,3,6,0,,0.3,0.054,0.143,0.255
Brent Rooker,0.293,0.365,0.562,0.927,,,614,82,39,112,11,,0.362,0.096,0.288,0.269
Jackson Merrill,0.292,0.326,0.5,0.826,,,593,77,24,90,16,,0.318,0.049,0.17,0.208
Steven Kwan,0.292,0.368,0.425,0.793,,,540,83,14,44,12,,0.304,0.098,0.094,0.133
Ketel Marte,0.292,0.372,0.56,0.932,,,583,93,36,95,7,,0.299,0.111,0.182,0.268
Randal Grichuk,0.291,0.348,0.528,0.876,,,279,40,12,46,0,,0.313,0.072,0.165,0.237
Mookie Betts,0.289,0.372,0.491,0.863,,,516,75,19,75,16,,0.294,0.118,0.11,0.202
Kyle Tucker,0.289,0.408,0.585,0.993,,,339,56,23,49,11,,0.282,0.165,0.159,0.296
Juan Soto,0.288,0.419,0.569,0.988,,,713,128,41,109,7,,0.298,0.181,0.167,0.281
Donovan Solano,0.286,0.343,0.417,0.76,,,309,31,8,35,2,,0.346,0.071,0.21,0.131
Matt Duffy,0.286,0.5,0.286,0.786,,,10,2,0,0,0,,0.333,0.2,0.1,0.0
Bryce Harper,0.285,0.373,0.525,0.898,,,631,85,30,87,7,,0.331,0.12,0.219,0.24
Jake McCarthy,0.285,0.349,0.4,0.749,,,495,66,8,56,25,,0.329,0.063,0.158,0.115
Miguel Andujar,0.285,0.32,0.377,0.697,,,319,31,4,30,3,,0.319,0.041,0.132,0.092
Jarren Duran,0.285,0.342,0.492,0.834,,,735,111,21,75,34,,0.345,0.073,0.218,0.207
Jose Miranda,0.284,0.322,0.441,0.763,,,429,44,9,49,2,,0.318,0.042,0.154,0.157
Kerry Carpenter,0.284,0.345,0.587,0.932,,,296,37,18,57,0,,0.328,0.074,0.253,0.303
Weston Wilson,0.284,0.347,0.489,0.836,,,98,13,3,10,3,,0.386,0.082,0.296,0.205
Miguel Rojas,0.283,0.337,0.41,0.747,,,337,41,6,36,8,,0.301,0.068,0.101,0.127
Seiya Suzuki,0.283,0.366,0.482,0.848,,,585,74,21,73,16,,0.37,0.108,0.274,0.199
Juan Yepez,0.283,0.335,0.429,0.764,,,249,32,6,26,2,,0.32,0.072,0.169,0.146
Rob Refsnyder,0.283,0.359,0.471,0.83,,,307,32,11,40,2,,0.359,0.091,0.254,0.188
Freddie Freeman,0.282,0.378,0.476,0.854,,,638,81,22,89,9,,0.306,0.122,0.157,0.194
Eli White,0.282,0.333,0.436,0.769,,,42,9,1,4,3,,0.385,0.024,0.286,0.154
Luis García Jr.,0.282,0.318,0.444,0.762,,,528,58,18,70,22,,0.31,0.051,0.163,0.162
Gunnar Henderson,0.281,0.364,0.529,0.893,,,719,118,37,92,21,,0.32,0.108,0.221,0.248
William Contreras,0.281,0.365,0.466,0.831,,,679,99,23,92,9,,0.33,0.115,0.205,0.185
Yandy Díaz,0.281,0.341,0.414,0.755,,,621,55,14,65,0,,0.314,0.081,0.153,0.133
Masataka Yoshida,0.28,0.349,0.415,0.764,,,421,45,10,56,2,,0.302,0.064,0.124,0.135
Tyler Fitzgerald,0.28,0.334,0.497,0.831,,,341,53,15,34,17,,0.38,0.065,0.317,0.217
Jurickson Profar,0.28,0.38,0.459,0.839,,,668,94,24,85,10,,0.302,0.114,0.151,0.179
Amed Rosario,0.28,0.306,0.38,0.686,,,346,29,3,32,13,,0.35,0.026,0.211,0.1
Alexander Canario,0.28,0.357,0.44,0.797,,,28,4,1,2,1,,0.462,0.071,0.393,0.16
Alec Bohm,0.28,0.332,0.448,0.78,,,606,62,15,97,5,,0.305,0.066,0.142,0.168
Connor Wong,0.28,0.333,0.425,0.758,,,487,54,13,52,8,,0.348,0.057,0.234,0.145
José Ramírez,0.279,0.335,0.537,0.872,,,682,114,39,118,41,,0.265,0.079,0.12,0.258
Byron Buxton,0.279,0.335,0.524,0.859,,,388,62,18,56,7,,0.338,0.052,0.255,0.245
Lourdes Gurriel Jr.,0.279,0.322,0.435,0.757,,,553,72,18,75,7,,0.313,0.052,0.183,0.156
Corey Seager,0.278,0.353,0.512,0.865,,,533,68,30,74,1,,0.291,0.099,0.18,0.234
Kevin Newman,0.278,0.311,0.375,0.686,,,311,41,3,28,8,,0.322,0.048,0.154,0.097
Brendan Donovan,0.278,0.342,0.417,0.759,,,652,65,14,73,5,,0.3,0.072,0.124,0.139
Jake Fraley,0.277,0.33,0.386,0.716,,,382,44,5,26,20,,0.331,0.068,0.183,0.109
Fernando Tatis Jr.,0.276,0.34,0.492,0.832,,,438,64,21,49,11,,0.316,0.073,0.219,0.216
Jonah Bride,0.276,0.357,0.461,0.818,,,272,30,11,39,0,,0.306,0.11,0.202,0.185
Joc Pederson,0.275,0.393,0.515,0.908,,,449,62,23,64,7,,0.322,0.122,0.234,0.24
Yoán Moncada,0.275,0.356,0.4,0.756,,,45,4,0,0,1,,0.379,0.111,0.244,0.125
Bryan Reynolds,0.275,0.344,0.447,0.791,,,692,73,24,88,10,,0.33,0.082,0.225,0.172
Manny Machado,0.275,0.325,0.472,0.797,,,643,77,29,105,11,,0.302,0.07,0.193,0.197
Jackson Chourio,0.275,0.327,0.464,0.791,,,573,80,21,79,22,,0.32,0.068,0.211,0.189
Francisco Lindor,0.273,0.344,0.5,0.844,,,689,107,33,91,29,,0.295,0.081,0.184,0.227
Julio Rodríguez,0.273,0.325,0.409,0.734,,,613,76,20,68,24,,0.344,0.062,0.254,0.136
Nico Hoerner,0.273,0.335,0.373,0.708,,,641,86,7,48,31,,0.297,0.069,0.103,0.1
Geraldo Perdomo,0.273,0.344,0.374,0.718,,,388,61,3,37,9,,0.317,0.093,0.149,0.101
Jon Berti,0.273,0.342,0.318,0.66,,,74,10,1,6,5,,0.333,0.081,0.189,0.045
Oscar Colás,0.273,0.368,0.273,0.641,,,38,1,0,4,0,,0.391,0.105,0.263,0.0
Eric Haase,0.273,0.304,0.515,0.819,,,69,10,5,14,0,,0.394,0.043,0.406,0.242
Nick Sogard,0.273,0.326,0.325,0.651,,,86,13,0,8,3,,0.389,0.081,0.291,0.052
Rafael Devers,0.272,0.354,0.516,0.87,,,601,87,28,83,3,,0.323,0.111,0.245,0.244
Teoscar Hernández,0.272,0.339,0.501,0.84,,,652,84,33,99,12,,0.344,0.081,0.288,0.229
Nolan Arenado,0.272,0.325,0.394,0.719,,,635,70,16,71,2,,0.296,0.069,0.145,0.122
Freddy Fermin,0.271,0.319,0.366,0.685,,,368,40,6,36,2,,0.319,0.062,0.179,0.095
Salvador Perez,0.271,0.33,0.456,0.786,,,652,58,27,104,0,,0.302,0.067,0.198,0.185
Ryan Mountcastle,0.271,0.308,0.425,0.733,,,507,54,13,63,3,,0.327,0.053,0.225,0.154
Otto Lopez,0.27,0.313,0.377,0.69,,,434,49,6,39,20,,0.318,0.058,0.173,0.107
Nick Gonzales,0.27,0.311,0.398,0.709,,,387,42,7,49,5,,0.319,0.047,0.191,0.128
Pavin Smith,0.27,0.348,0.547,0.895,,,158,26,9,36,1,,0.28,0.114,0.196,0.277
Heliot Ramos,0.269,0.322,0.469,0.791,,,518,54,22,72,6,,0.329,0.071,0.261,0.2
Victor Caratini,0.269,0.336,0.408,0.744,,,274,30,8,30,0,,0.31,0.084,0.193,0.139
Isiah Kiner-Falefa,0.269,0.306,0.376,0.682,,,496,53,8,43,11,,0.307,0.032,0.157,0.107
Alec Burleson,0.269,0.314,0.42,0.734,,,595,71,21,78,9,,0.276,0.059,0.128,0.151
Ezequiel Tovar,0.269,0.295,0.469,0.764,,,695,83,26,78,6,,0.344,0.033,0.288,0.2
Mauricio Dubón,0.269,0.296,0.361,0.657,,,428,45,4,47,3,,0.299,0.037,0.129,0.092
Bligh Madris,0.269,0.324,0.358,0.682,,,75,8,1,5,0,,0.362,0.08,0.267,0.089
Starling Marte,0.269,0.327,0.388,0.715,,,370,46,7,40,16,,0.333,0.073,0.219,0.119
Griffin Conine,0.268,0.326,0.451,0.777,,,89,14,3,12,0,,0.373,0.067,0.315,0.183
Brendan Rodgers,0.267,0.314,0.407,0.721,,,539,67,13,54,1,,0.338,0.058,0.245,0.14
Masyn Winn,0.267,0.314,0.416,0.73,,,637,85,15,57,11,,0.303,0.064,0.171,0.149
José Tena,0.267,0.298,0.354,0.652,,,168,14,3,15,6,,0.342,0.042,0.244,0.087
David Peralta,0.267,0.335,0.415,0.75,,,260,35,8,28,2,,0.316,0.085,0.208,0.148
Mark Vientos,0.266,0.322,0.516,0.838,,,454,58,27,71,0,,0.324,0.073,0.297,0.25
Romy Gonzalez,0.266,0.306,0.417,0.723,,,216,25,6,29,11,,0.338,0.056,0.269,0.151
J.T. Realmuto,0.266,0.322,0.429,0.751,,,413,50,14,47,2,,0.328,0.065,0.247,0.163
Jeremy Peña,0.266,0.308,0.394,0.702,,,650,78,15,70,20,,0.301,0.038,0.171,0.128
Gabriel Moreno,0.266,0.353,0.38,0.733,,,351,39,5,45,3,,0.303,0.117,0.148,0.114
Cody Bellinger,0.266,0.325,0.426,0.751,,,569,72,18,78,9,,0.287,0.079,0.156,0.16
Nathaniel Lowe,0.265,0.361,0.401,0.762,,,565,62,16,69,2,,0.324,0.126,0.221,0.136
Spencer Horwitz,0.265,0.357,0.433,0.79,,,381,46,12,40,0,,0.3,0.11,0.184,0.168
Joey Bart,0.265,0.337,0.462,0.799,,,282,38,13,45,0,,0.321,0.078,0.259,0.197
Elias Díaz,0.265,0.313,0.382,0.695,,,351,27,6,39,0,,0.317,0.057,0.197,0.117
Jordan Westburg,0.264,0.312,0.481,0.793,,,447,57,18,63,6,,0.305,0.049,0.217,0.217
James Wood,0.264,0.354,0.427,0.781,,,336,43,9,41,14,,0.365,0.116,0.289,0.163
Austin Barnes,0.264,0.331,0.307,0.638,,,156,12,1,11,3,,0.35,0.09,0.231,0.043
Ryan O'Hearn,0.264,0.334,0.427,0.761,,,494,60,15,59,3,,0.282,0.093,0.14,0.163
Josh Jung,0.264,0.298,0.421,0.719,,,188,19,7,16,4,,0.323,0.043,0.255,0.157
Xander Bogaerts,0.264,0.307,0.381,0.688,,,463,50,11,44,13,,0.297,0.06,0.171,0.117
Will Brennan,0.264,0.309,0.388,0.697,,,353,37,8,30,4,,0.287,0.054,0.136,0.124
Michael Harris II,0.264,0.304,0.418,0.722,,,470,58,16,48,10,,0.3,0.049,0.2,0.154
Jacob Stallings,0.263,0.357,0.453,0.81,,,281,31,9,36,0,,0.324,0.096,0.231,0.19
Dane Myers,0.263,0.333,0.442,0.775,,,108,17,3,19,4,,0.379,0.074,0.333,0.179
David Fry,0.263,0.356,0.448,0.804,,,392,44,14,51,4,,0.307,0.107,0.214,0.185
Ernie Clement,0.263,0.284,0.408,0.692,,,452,48,12,51,12,,0.266,0.024,0.091,0.145
Willson Contreras,0.262,0.38,0.468,0.848,,,358,48,15,36,4,,0.337,0.126,0.268,0.206
Lawrence Butler,0.262,0.317,0.49,0.807,,,451,63,22,57,18,,0.301,0.078,0.239,0.228
Vinnie Pasquantino,0.262,0.315,0.446,0.761,,,554,64,19,97,1,,0.265,0.072,0.128,0.184
Jung Hoo Lee,0.262,0.31,0.331,0.641,,,158,15,2,8,2,,0.273,0.063,0.082,0.069
Riley Greene,0.262,0.348,0.479,0.827,,,584,82,24,74,4,,0.329,0.11,0.267,0.217
Rece Hinds,0.261,0.333,0.717,1.05,,,51,9,5,11,2,,0.28,0.078,0.314,0.456
Harold Ramírez,0.261,0.28,0.324,0.604,,,246,28,2,29,6,,0.321,0.02,0.203,0.063
Brenton Doyle,0.26,0.317,0.446,0.763,,,603,82,23,72,30,,0.316,0.076,0.254,0.186
Alex Bregman,0.26,0.315,0.453,0.768,,,634,79,26,75,3,,0.264,0.069,0.136,0.193
LaMonte Wade Jr.,0.26,0.38,0.381,0.761,,,401,45,8,34,2,,0.331,0.155,0.224,0.121
Colt Keith,0.26,0.309,0.38,0.689,,,556,54,13,61,7,,0.306,0.065,0.198,0.12
Trevor Larnach,0.259,0.338,0.434,0.772,,,400,59,15,52,4,,0.304,0.1,0.223,0.175
Matt Wallner,0.259,0.372,0.523,0.895,,,261,26,13,37,3,,0.389,0.092,0.364,0.264
Michael Massey,0.259,0.294,0.449,0.743,,,356,45,14,45,1,,0.271,0.042,0.157,0.19
Sal Frelick,0.259,0.32,0.335,0.655,,,524,66,2,32,18,,0.306,0.074,0.149,0.076
Elly De La Cruz,0.259,0.339,0.471,0.81,,,696,105,25,76,67,,0.359,0.099,0.313,0.212
Oneil Cruz,0.259,0.324,0.449,0.773,,,599,72,21,76,22,,0.347,0.085,0.302,0.19
Ramón Laureano,0.259,0.311,0.437,0.748,,,309,35,11,33,8,,0.35,0.049,0.311,0.178
Justin Turner,0.259,0.354,0.383,0.737,,,539,59,11,55,0,,0.299,0.109,0.176,0.124
Dairon Blanco,0.258,0.308,0.392,0.7,,,132,37,4,13,31,,0.318,0.061,0.242,0.134
Tyler Stephenson,0.258,0.338,0.444,0.782,,,515,69,19,66,1,,0.307,0.093,0.227,0.186
Josh Smith,0.258,0.337,0.394,0.731,,,592,67,13,62,11,,0.311,0.078,0.204,0.136
Gleyber Torres,0.257,0.33,0.378,0.708,,,665,80,15,63,4,,0.306,0.098,0.205,0.121
David Villar,0.257,0.27,0.457,0.727,,,37,3,1,4,0,,0.364,0.027,0.351,0.2
Edmundo Sosa,0.257,0.313,0.422,0.735,,,274,39,7,31,7,,0.32,0.047,0.241,0.165
Matt Vierling,0.257,0.312,0.423,0.735,,,567,80,16,57,6,,0.303,0.072,0.213,0.166
Austin Riley,0.256,0.322,0.461,0.783,,,469,63,19,56,0,,0.31,0.079,0.252,0.205
Jacob Young,0.256,0.316,0.331,0.647,,,521,75,3,36,33,,0.321,0.058,0.196,0.075
Jazz Chisholm Jr.,0.256,0.324,0.436,0.76,,,621,74,24,73,40,,0.309,0.085,0.245,0.18
Charlie Blackmon,0.256,0.329,0.412,0.741,,,499,59,12,52,6,,0.293,0.086,0.172,0.156
Eugenio Suárez,0.256,0.319,0.469,0.788,,,640,90,30,101,2,,0.309,0.077,0.275,0.213
Austin Hays,0.255,0.303,0.396,0.699,,,255,26,5,20,2,,0.318,0.035,0.231,0.141
Trevor Story,0.255,0.34,0.394,0.734,,,106,8,2,10,6,,0.373,0.104,0.311,0.139
Garrett Mitchell,0.255,0.342,0.469,0.811,,,224,33,8,21,11,,0.359,0.112,0.317,0.214
Nick Castellanos,0.254,0.311,0.431,0.742,,,659,80,23,86,6,,0.294,0.062,0.211,0.177
Brice Turang,0.254,0.316,0.349,0.665,,,619,72,7,57,50,,0.3,0.081,0.17,0.095
Jack López,0.254,0.286,0.343,0.629,,,71,4,1,6,0,,0.39,0.028,0.352,0.089
Ramón Urías,0.254,0.322,0.423,0.745,,,301,39,11,37,1,,0.28,0.076,0.183,0.169
Lenyn Sosa,0.254,0.283,0.359,0.642,,,369,28,8,35,3,,0.303,0.033,0.209,0.105
Jesse Winker,0.253,0.36,0.405,0.765,,,508,63,14,58,14,,0.304,0.124,0.209,0.152
Austin Martin,0.253,0.318,0.352,0.67,,,257,41,1,16,7,,0.314,0.078,0.183,0.099
Wilyer Abreu,0.253,0.322,0.459,0.781,,,447,59,15,58,8,,0.326,0.089,0.28,0.206
Alejandro Kirk,0.253,0.319,0.359,0.678,,,386,23,5,54,0,,0.276,0.091,0.132,0.106
Max Kepler,0.253,0.302,0.38,0.682,,,399,43,8,42,1,,0.3,0.055,0.201,0.127
Heston Kjerstad,0.253,0.351,0.394,0.745,,,114,8,4,14,1,,0.339,0.088,0.289,0.141
Wyatt Langford,0.253,0.325,0.415,0.74,,,557,74,16,74,19,,0.296,0.092,0.206,0.162
Casey Schmitt,0.252,0.283,0.477,0.76,,,113,11,6,16,0,,0.273,0.035,0.221,0.225
Andrés Giménez,0.252,0.298,0.34,0.638,,,633,64,9,63,30,,0.286,0.041,0.153,0.088
Jesús Sánchez,0.252,0.313,0.417,0.73,,,537,60,18,64,16,,0.315,0.076,0.261,0.165
Willy Adames,0.251,0.331,0.462,0.793,,,688,93,32,112,21,,0.297,0.108,0.251,0.211
Jake Cave,0.251,0.29,0.396,0.686,,,346,42,7,37,5,,0.335,0.052,0.283,0.145
Ozzie Albies,0.251,0.303,0.404,0.707,,,435,52,10,53,8,,0.274,0.062,0.149,0.153
Gavin Lux,0.251,0.32,0.383,0.703,,,487,59,10,50,5,,0.312,0.09,0.226,0.132
Christian Walker,0.251,0.335,0.468,0.803,,,552,72,26,84,2,,0.287,0.1,0.241,0.217
Nolan Schanuel,0.25,0.343,0.362,0.705,,,607,62,13,54,10,,0.285,0.112,0.17,0.112
Jake Burger,0.25,0.301,0.46,0.761,,,579,68,29,76,1,,0.292,0.054,0.259,0.21
Adley Rutschman,0.25,0.318,0.391,0.709,,,638,68,19,79,1,,0.272,0.091,0.161,0.141
Ronald Acuña Jr.,0.25,0.351,0.365,0.716,,,222,38,4,15,16,,0.326,0.122,0.239,0.115
Conner Capel,0.25,0.25,0.25,0.5,,,8,1,0,0,1,,0.333,0.0,0.25,0.0
José Devers,0.25,0.25,0.25,0.5,,,4,1,0,0,0,,0.333,0.0,0.25,0.0
David Fletcher,0.25,0.222,0.25,0.472,,,9,0,0,2,0,,0.25,0.0,0.111,0.0
Cade Marlowe,0.25,0.333,0.25,0.583,,,9,1,0,0,0,,0.286,0.111,0.111,0.0
Cal Stevenson,0.25,0.333,0.375,0.708,,,27,2,0,6,0,,0.3,0.111,0.148,0.125
Myles Straw,0.25,0.25,0.25,0.5,,,4,2,0,0,2,,0.25,0.0,0.0,0.0
Chadwick Tromp,0.25,0.259,0.365,0.624,,,54,3,0,6,0,,0.361,0.019,0.315,0.115
Gio Urshela,0.25,0.286,0.361,0.647,,,461,34,9,52,0,,0.278,0.05,0.156,0.111
Eric Wagaman,0.25,0.27,0.403,0.673,,,74,6,2,10,0,,0.302,0.027,0.23,0.153
Forrest Wall,0.25,0.314,0.25,0.564,,,35,4,0,1,4,,0.333,0.086,0.229,0.0
Jacob Wilson,0.25,0.314,0.315,0.629,,,103,11,0,3,0,,0.277,0.078,0.097,0.065
Zach Neto,0.249,0.318,0.443,0.761,,,602,70,23,77,30,,0.295,0.065,0.233,0.194
Josh Bell,0.249,0.319,0.405,0.724,,,603,62,19,71,0,,0.286,0.085,0.199,0.156
Brandon Marsh,0.249,0.328,0.419,0.747,,,476,55,16,60,19,,0.348,0.105,0.324,0.17
Junior Caminero,0.248,0.299,0.424,0.723,,,177,15,6,18,2,,0.289,0.062,0.215,0.176
Mike Tauchman,0.248,0.357,0.366,0.723,,,350,50,7,29,6,,0.302,0.134,0.2,0.118
David Hamilton,0.248,0.303,0.395,0.698,,,317,47,8,28,33,,0.316,0.069,0.252,0.147
Andy Pages,0.248,0.305,0.407,0.712,,,443,65,13,46,1,,0.304,0.065,0.244,0.159
Michael Busch,0.248,0.335,0.44,0.775,,,567,73,21,65,2,,0.322,0.111,0.286,0.192
Will Smith,0.248,0.327,0.433,0.76,,,544,77,20,75,1,,0.273,0.094,0.193,0.185
Kyle Schwarber,0.248,0.366,0.485,0.851,,,692,110,38,104,5,,0.301,0.153,0.285,0.237
Jerar Encarnacion,0.248,0.277,0.425,0.702,,,119,13,5,19,1,,0.307,0.042,0.286,0.177
Tommy Pham,0.248,0.305,0.368,0.673,,,478,49,9,39,7,,0.307,0.073,0.222,0.12
Jonathan India,0.248,0.357,0.392,0.749,,,637,84,15,58,13,,0.293,0.126,0.196,0.144
Tyrone Taylor,0.248,0.299,0.401,0.7,,,345,47,7,35,11,,0.309,0.055,0.232,0.153
Oswaldo Cabrera,0.247,0.296,0.365,0.661,,,326,47,8,36,4,,0.286,0.064,0.193,0.118
Willi Castro,0.247,0.331,0.385,0.716,,,635,89,12,60,14,,0.315,0.08,0.236,0.138
Blaze Alexander,0.247,0.321,0.343,0.664,,,185,19,3,21,3,,0.333,0.081,0.265,0.096
Matt Chapman,0.247,0.328,0.463,0.791,,,647,98,27,78,15,,0.293,0.099,0.244,0.216
Ben Gamel,0.247,0.384,0.333,0.717,,,99,22,1,4,1,,0.339,0.182,0.242,0.086
Matt Olson,0.247,0.333,0.457,0.79,,,685,78,29,98,0,,0.293,0.104,0.248,0.21
Santiago Espinal,0.246,0.295,0.356,0.651,,,391,32,9,45,11,,0.265,0.061,0.138,0.11
Ceddanne Rafaela,0.246,0.274,0.39,0.664,,,571,70,15,75,19,,0.312,0.026,0.264,0.144
Ildemaro Vargas,0.246,0.295,0.316,0.611,,,303,21,1,30,9,,0.269,0.063,0.102,0.07
Ezequiel Duran,0.246,0.288,0.321,0.609,,,285,26,3,20,1,,0.31,0.049,0.221,0.075
Taylor Ward,0.246,0.323,0.426,0.749,,,663,73,25,75,6,,0.294,0.095,0.246,0.18
Jonatan Clase,0.246,0.303,0.328,0.631,,,66,7,1,5,3,,0.326,0.045,0.258,0.082
Nasim Nuñez,0.246,0.37,0.262,0.632,,,78,14,0,1,8,,0.326,0.154,0.192,0.016
CJ Abrams,0.246,0.314,0.433,0.747,,,602,79,20,65,31,,0.285,0.066,0.213,0.187
Drew Millas,0.246,0.306,0.316,0.622,,,62,7,1,1,4,,0.325,0.081,0.258,0.07
Andrew Vaughn,0.246,0.297,0.402,0.699,,,619,55,19,70,2,,0.285,0.061,0.213,0.156
Paul Goldschmidt,0.245,0.302,0.414,0.716,,,654,70,22,65,11,,0.308,0.072,0.265,0.169
Eguy Rosario,0.245,0.286,0.528,0.814,,,57,5,3,6,0,,0.333,0.035,0.351,0.283
Bryson Stott,0.245,0.315,0.356,0.671,,,571,65,11,57,32,,0.275,0.093,0.163,0.111
Willie Calhoun,0.245,0.315,0.38,0.695,,,254,26,5,20,0,,0.263,0.091,0.122,0.135
Parker Meadows,0.244,0.31,0.433,0.743,,,298,39,9,28,9,,0.306,0.084,0.255,0.189
Logan O'Hoppe,0.244,0.303,0.409,0.712,,,522,64,20,56,2,,0.318,0.063,0.297,0.165
Lars Nootbaar,0.244,0.342,0.417,0.759,,,405,39,12,45,7,,0.281,0.128,0.195,0.173
Brandon Lowe,0.244,0.311,0.473,0.784,,,425,56,21,58,5,,0.287,0.078,0.264,0.229
Josh Naylor,0.243,0.32,0.456,0.776,,,633,84,31,108,6,,0.246,0.092,0.166,0.213
Anthony Volpe,0.243,0.293,0.364,0.657,,,689,90,12,60,28,,0.303,0.061,0.226,0.121
Armando Alvarez,0.243,0.282,0.27,0.552,,,39,7,0,2,1,,0.31,0.051,0.205,0.027
JJ Bleday,0.243,0.324,0.437,0.761,,,642,74,20,60,2,,0.279,0.104,0.195,0.194
Rowdy Tellez,0.243,0.299,0.392,0.691,,,421,38,13,56,1,,0.28,0.074,0.211,0.149
Johan Rojas,0.243,0.279,0.322,0.601,,,363,47,3,32,25,,0.297,0.036,0.19,0.079
Luke Raley,0.243,0.32,0.463,0.783,,,455,58,22,58,11,,0.305,0.059,0.297,0.22
Ian Happ,0.243,0.341,0.441,0.782,,,657,89,25,86,13,,0.299,0.122,0.256,0.198
Colton Cowser,0.242,0.321,0.447,0.768,,,561,77,24,69,9,,0.317,0.093,0.307,0.205
Zach Remillard,0.242,0.342,0.333,0.675,,,39,3,0,1,1,,0.348,0.128,0.256,0.091
Zach Dezenzo,0.242,0.277,0.371,0.648,,,65,5,2,8,0,,0.342,0.046,0.338,0.129
Mark Canha,0.242,0.344,0.346,0.69,,,462,46,7,42,7,,0.298,0.11,0.208,0.104
Wenceel Pérez,0.242,0.3,0.383,0.683,,,425,51,9,37,9,,0.294,0.075,0.216,0.141
Ryan McMahon,0.242,0.325,0.397,0.722,,,645,68,20,65,4,,0.32,0.107,0.287,0.155
Dansby Swanson,0.242,0.312,0.39,0.702,,,593,82,16,66,19,,0.3,0.091,0.243,0.148
