Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Eddy Alvarez,0.0,,,1.0,9.0,0.0,0.0,0.2,0.0,0.25,,,1.0,1,0,0,0
Shane Bieber,0.0,,,0.92,15.0,0.75,0.0,0.444,0.022,0.227,,,12.0,2,2,2,0
David Bote,0.0,,,2.0,0.0,9.0,0.0,0.0,0.2,0.25,,,1.0,1,0,0,0
Oswaldo Cabrera,0.0,,,6.0,0.0,54.0,0.0,0.0,0.667,0.0,,,0.1,1,0,0,0
Willi Castro,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1,2,0,0,0
Marc Church,0.0,,,1.0,9.0,0.0,0.0,0.25,0.0,0.25,,,1.0,1,0,0,0
Dylan Coleman,0.0,,,1.0,9.0,9.0,0.0,0.25,0.25,0.0,,,1.0,1,0,0,0
Steven Cruz,0.0,,,0.18,6.35,0.0,0.0,0.222,0.0,0.056,,,5.2,5,0,0,0
Tucker Davidson,0.0,,,1.29,1.93,3.86,0.0,0.053,0.105,0.235,,,4.2,1,0,1,0
Miguel Díaz,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Luis Guerrero,0.0,,,0.8,8.1,1.8,0.0,0.25,0.056,0.182,,,10.0,9,0,0,0
Garrett Hampson,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Austin Hedges,0.0,,,0.5,0.0,4.5,0.0,0.0,0.167,0.0,,,2.0,1,0,0,0
Tyler Heineman,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.25,,,1.0,1,0,0,0
Gavin Hollowell,0.0,,,1.5,6.75,0.0,0.0,0.167,0.0,0.4,,,1.1,1,0,0,0
Jackson Jobe,0.0,,,0.5,4.5,2.25,0.0,0.125,0.062,0.071,,,4.0,2,0,0,0
Evan Justice,0.0,,,3.0,27.0,27.0,0.0,0.5,0.5,0.0,,,0.1,1,0,0,0
Grae Kessinger,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Adam Kloffenstein,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1,0,0,0
Andrew Knizner,0.0,,,1.0,0.0,6.0,0.0,0.0,0.182,0.125,,,3.0,2,0,0,0
Evan Kravetz,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,1,0,0,0
Zac Kristofak,0.0,,,2.5,9.0,9.0,0.0,0.182,0.182,0.375,,,2.0,1,0,0,0
Nick Loftin,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.333,,,1.0,1,0,0,0
Ryan Loutos,0.0,,,1.29,0.0,3.86,0.0,0.0,0.1,0.222,,,2.1,3,0,0,0
Jonathan Loáisiga,0.0,,,2.0,6.75,2.25,0.0,0.15,0.05,0.368,,,4.0,3,0,1,0
Jordan Lyles,0.0,,,0.8,5.4,3.6,0.0,0.158,0.105,0.118,,,5.0,5,0,0,0
Trevor McDonald,0.0,,,0.33,3.0,3.0,0.0,0.1,0.1,0.0,,,3.0,1,0,0,0
James Meeker,0.0,,,2.0,0.0,9.0,0.0,0.0,0.25,0.333,,,1.0,1,0,0,0
Danny Mendick,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.5,,,1.0,1,0,0,0
Anthony Misiewicz,0.0,,,3.0,9.0,9.0,0.0,0.167,0.167,0.4,,,1.0,1,0,0,0
Jhonny Pereda,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.1,1,0,0,0
Nick Pratto,0.0,,,1.0,9.0,0.0,0.0,0.25,0.0,0.25,,,1.0,1,0,0,0
Brooks Raley,0.0,,,0.71,11.57,3.86,0.0,0.36,0.12,0.095,,,7.0,8,0,1,0
