Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Grayson Rodriguez,4.35,,,1.34,9.52,3.1,1.18,0.25,0.082,0.259,,,122.0,23,23,7,4
Drew Carlton,4.35,,,1.16,7.84,2.61,0.87,0.212,0.071,0.243,,,20.2,11,0,2,1
Matt Waldron,4.35,,,1.23,6.75,2.61,1.96,0.179,0.069,0.244,,,41.1,8,6,1,3
Scott Barlow,4.37,,,1.4,10.46,4.5,0.53,0.264,0.114,0.242,,,68.0,63,0,2,6
Brock Burke,4.37,,,1.22,7.84,1.36,1.96,0.208,0.036,0.271,,,59.2,53,0,5,3
Jacob Lopez,4.38,,,1.3,5.84,1.46,0.0,0.148,0.037,0.28,,,12.1,4,1,1,0
Peter Strzelecki,4.38,,,1.22,9.0,2.92,0.73,0.227,0.074,0.234,,,37.0,37,0,3,5
Taijuan Walker,4.38,,,1.31,7.19,3.7,1.04,0.188,0.097,0.238,,,172.2,31,31,15,6
Will Smith,4.4,,,1.06,8.63,2.67,0.78,0.243,0.075,0.211,,,57.1,60,0,2,7
Julio Teheran,4.4,,,1.13,6.28,1.63,1.63,0.174,0.045,0.254,,,71.2,14,11,3,5
Joe La Sorsa,4.41,,,1.26,7.71,2.48,0.83,0.193,0.062,0.246,,,32.2,25,0,1,0
Jordan Wicks,4.41,,,1.27,6.23,2.86,1.3,0.163,0.075,0.252,,,34.2,7,7,4,1
Giovanny Gallegos,4.42,,,1.2,9.65,1.96,1.8,0.258,0.052,0.252,,,55.0,56,0,2,4
Michael Fulmer,4.42,,,1.33,10.26,4.42,1.11,0.274,0.118,0.235,,,57.0,58,1,3,5
Cole Irvin,4.42,,,1.28,7.91,2.44,1.28,0.202,0.062,0.256,,,77.1,24,12,1,4
MacKenzie Gore,4.42,,,1.4,9.97,3.76,1.78,0.259,0.098,0.258,,,136.1,27,27,7,10
Tanner Banks,4.43,,,1.23,7.52,2.36,1.48,0.2,0.063,0.254,,,61.0,32,3,1,4
Max Castillo,4.43,,,1.43,4.43,3.98,0.89,0.112,0.101,0.267,,,20.1,7,0,0,1
Paul Blackburn,4.43,,,1.54,9.03,3.73,0.95,0.224,0.093,0.286,,,103.2,21,20,4,7
Sean Manaea,4.44,,,1.24,9.79,3.21,1.07,0.257,0.084,0.234,,,117.2,37,10,7,6
Jordan Balazovic,4.44,,,1.56,6.29,4.44,1.85,0.157,0.111,0.274,,,24.1,18,0,1,0
Daniel Palencia,4.45,,,1.27,10.48,4.45,0.95,0.277,0.118,0.216,,,28.1,27,0,5,3
Martín Pérez,4.45,,,1.4,5.91,3.11,1.33,0.153,0.081,0.274,,,141.2,35,20,10,4
Steven Okert,4.45,,,1.26,11.2,3.68,1.38,0.296,0.097,0.229,,,58.2,64,2,3,2
Alex Faedo,4.45,,,1.05,8.07,2.78,1.67,0.221,0.076,0.2,,,64.2,15,12,2,5
Aaron Nola,4.46,,,1.15,9.39,2.09,1.49,0.255,0.057,0.24,,,193.2,32,32,12,9
Brandon Williamson,4.46,,,1.28,7.54,3.0,1.38,0.2,0.079,0.248,,,117.0,23,23,5,5
Chris Devenski,4.46,,,1.11,8.93,2.34,1.28,0.243,0.064,0.229,,,42.1,38,0,6,4
Zack Thompson,4.48,,,1.42,9.77,3.39,1.09,0.251,0.087,0.27,,,66.1,25,9,5,7
Reid Detmers,4.48,,,1.35,10.17,3.63,1.15,0.261,0.093,0.248,,,148.2,28,28,4,10
Tyler Alexander,4.5,,,1.11,9.0,1.02,1.64,0.243,0.028,0.256,,,44.0,25,1,2,1
Eduard Bazardo,4.5,,,1.19,8.44,2.25,1.13,0.224,0.06,0.238,,,16.0,12,0,0,0
Ronel Blanco,4.5,,,1.48,9.0,4.85,2.08,0.23,0.124,0.251,,,52.0,17,7,2,1
Tyler Duffey,4.5,,,0.5,13.5,0.0,4.5,0.429,0.0,0.143,,,2.0,1,0,0,0
Matt Duffy,4.5,,,1.5,0.0,0.0,4.5,0.0,0.0,0.333,,,2.0,2,0,0,0
Hunter Gaddis,4.5,,,1.31,5.14,3.0,1.29,0.132,0.077,0.255,,,42.0,11,7,2,1
Emerson Hancock,4.5,,,1.33,4.5,2.25,0.75,0.122,0.061,0.283,,,12.0,3,3,0,0
José Lopez,4.5,,,2.0,9.0,4.5,0.0,0.2,0.1,0.333,,,2.0,1,0,0,0
James Paxton,4.5,,,1.31,9.47,3.09,1.69,0.246,0.08,0.25,,,96.0,19,19,7,5
Pablo Reyes,4.5,,,3.5,0.0,18.0,0.0,0.0,0.308,0.333,,,2.0,2,0,0,0
Jacob Stallings,4.5,,,1.5,1.13,0.0,1.13,0.028,0.0,0.364,,,8.0,7,0,0,0
