Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Dom Nuñez,0.286,0.286,0.286,0.572,,,7,2,0,0,0,,0.667,0.0,0.571,0.0
Gabriel Moreno,0.285,0.353,0.433,0.786,,,309,44,9,40,2,,0.323,0.094,0.172,0.148
Dominic Smith,0.284,0.333,0.417,0.75,,,225,26,5,33,2,,0.329,0.067,0.187,0.133
Iván Herrera,0.284,0.373,0.464,0.837,,,452,54,19,66,8,,0.315,0.095,0.186,0.18
Xavier Edwards,0.283,0.343,0.353,0.696,,,619,75,3,43,27,,0.33,0.079,0.142,0.07
José Fermín,0.283,0.377,0.417,0.794,,,70,5,1,9,2,,0.327,0.114,0.143,0.134
Ketel Marte,0.283,0.376,0.517,0.893,,,556,87,28,72,4,,0.29,0.115,0.149,0.234
José Ramírez,0.283,0.36,0.503,0.863,,,673,103,30,85,44,,0.279,0.098,0.11,0.22
Austin Martin,0.282,0.374,0.365,0.739,,,181,22,1,7,11,,0.347,0.122,0.171,0.083
Alejandro Kirk,0.282,0.348,0.421,0.769,,,506,45,15,76,1,,0.292,0.095,0.117,0.139
Shohei Ohtani,0.282,0.392,0.622,1.014,,,727,146,55,102,20,,0.315,0.15,0.257,0.34
Miguel Amaya,0.281,0.314,0.5,0.814,,,103,14,4,25,0,,0.324,0.039,0.214,0.219
Ramón Laureano,0.281,0.342,0.512,0.854,,,488,72,24,76,7,,0.331,0.072,0.244,0.231
Tyler Freeman,0.281,0.354,0.361,0.715,,,428,50,2,31,18,,0.317,0.079,0.119,0.08
Ryan O'Hearn,0.281,0.366,0.437,0.803,,,544,67,17,63,3,,0.33,0.107,0.2,0.156
Tyler Tolbert,0.28,0.321,0.38,0.701,,,57,19,1,6,21,,0.325,0.018,0.193,0.1
Brandon Marsh,0.28,0.342,0.443,0.785,,,425,59,11,43,7,,0.363,0.089,0.259,0.163
Hyeseong Kim,0.28,0.314,0.385,0.699,,,170,19,3,17,13,,0.396,0.041,0.306,0.105
Dillon Dingler,0.278,0.327,0.425,0.752,,,469,54,13,57,0,,0.345,0.049,0.235,0.147
Hunter Goodman,0.278,0.323,0.52,0.843,,,579,73,31,91,1,,0.331,0.057,0.263,0.242
Ernie Clement,0.277,0.313,0.398,0.711,,,588,83,9,50,6,,0.296,0.046,0.104,0.121
Harrison Bader,0.277,0.347,0.449,0.796,,,501,61,17,54,11,,0.359,0.078,0.271,0.172
Troy Johnston,0.277,0.331,0.42,0.751,,,121,12,4,13,2,,0.329,0.066,0.215,0.143
Shea Langeliers,0.277,0.325,0.536,0.861,,,523,73,31,72,7,,0.29,0.069,0.197,0.259
Jeremiah Jackson,0.276,0.328,0.447,0.775,,,183,20,5,21,0,,0.365,0.06,0.273,0.171
Tyler Soderstrom,0.276,0.346,0.474,0.82,,,624,75,25,93,8,,0.327,0.088,0.226,0.198
Amed Rosario,0.276,0.309,0.436,0.745,,,191,20,6,23,1,,0.303,0.037,0.162,0.16
Edmundo Sosa,0.276,0.307,0.469,0.776,,,261,30,11,39,1,,0.315,0.038,0.215,0.193
Carlos Correa,0.276,0.332,0.402,0.734,,,584,63,13,52,0,,0.328,0.077,0.193,0.126
Manny Machado,0.275,0.335,0.46,0.795,,,678,91,27,95,14,,0.307,0.081,0.193,0.185
Drake Baldwin,0.274,0.341,0.469,0.81,,,446,56,19,80,0,,0.289,0.085,0.152,0.195
Paul Goldschmidt,0.274,0.328,0.403,0.731,,,534,76,10,45,5,,0.325,0.067,0.187,0.129
Brett Harris,0.274,0.349,0.342,0.691,,,84,11,0,5,1,,0.377,0.083,0.25,0.068
Gunnar Henderson,0.274,0.349,0.438,0.787,,,651,85,17,68,30,,0.329,0.095,0.21,0.164
Giancarlo Stanton,0.273,0.35,0.594,0.944,,,281,36,24,66,0,,0.338,0.103,0.342,0.321
Yordan Alvarez,0.273,0.367,0.43,0.797,,,199,17,6,27,1,,0.295,0.141,0.166,0.157
Kyle Teel,0.273,0.375,0.411,0.786,,,297,38,8,35,3,,0.361,0.125,0.259,0.138
Alex Bregman,0.273,0.36,0.462,0.822,,,495,64,18,62,1,,0.288,0.103,0.141,0.189
Pete Alonso,0.272,0.347,0.524,0.871,,,709,87,38,126,1,,0.305,0.086,0.228,0.252
Matt Olson,0.272,0.366,0.484,0.85,,,724,98,29,95,1,,0.333,0.126,0.243,0.212
Cody Bellinger,0.272,0.334,0.48,0.814,,,656,89,29,98,13,,0.274,0.087,0.137,0.208
Steven Kwan,0.272,0.33,0.374,0.704,,,693,81,11,56,21,,0.283,0.079,0.087,0.102
Spencer Horwitz,0.272,0.353,0.434,0.787,,,411,55,11,51,0,,0.313,0.107,0.178,0.162
Andy Pages,0.272,0.313,0.461,0.774,,,624,74,27,86,14,,0.308,0.046,0.216,0.189
Corey Seager,0.271,0.373,0.487,0.86,,,445,61,21,50,3,,0.299,0.13,0.196,0.216
Andruw Monasterio,0.27,0.319,0.437,0.756,,,135,19,4,16,2,,0.333,0.052,0.237,0.167
Starling Marte,0.27,0.335,0.41,0.745,,,329,37,9,34,7,,0.318,0.067,0.207,0.14
